minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
3.5,4.83,10.13,9.0,1.64,2.86,4.51,576.78,149.33,1.02,313.03,10.35,64.47,50.63,0.0,0.03
3.13,4.17,11.86,9.0,0.78,4.69,4.59,456.93,102.05,0.81,189.16,11.04,65.6,52.81,2.0,4.0
1.54,5.5,11.15,9.0,1.44,5.36,4.47,495.15,120.22,0.9,232.59,10.84,64.24,52.83,0.0,-0.69
3.3,2.55,9.67,9.0,1.48,4.34,4.84,636.55,203.41,1.07,374.06,10.12,64.67,48.9,0.0,0.86
4.66,5.01,4.79,9.0,1.19,7.31,4.33,509.0,125.1,0.9,242.46,10.83,65.27,52.47,0.0,-0.73
4.93,5.07,6.8,9.0,0.54,3.85,4.38,453.46,107.66,0.81,184.09,11.17,65.91,53.27,36.0,4.0
3.83,3.94,5.85,9.0,1.02,4.98,4.33,489.53,115.03,0.86,223.23,10.78,65.17,52.09,0.0,-0.69
2.85,1.48,10.21,9.0,1.93,6.17,5.59,896.4,354.02,1.27,631.56,9.35,65.89,44.36,0.0,3.08
2.28,2.56,13.86,9.0,1.44,4.23,4.82,584.15,161.2,1.01,320.04,10.28,65.01,49.69,0.0,0.47
4.26,2.99,12.63,9.0,1.74,7.76,4.33,514.47,113.09,0.92,255.09,10.38,63.55,50.99,0.0,-0.32
4.66,2.67,14.52,9.0,1.55,7.31,4.83,698.11,248.99,1.06,424.78,10.32,67.94,48.19,0.0,1.0
4.1,5.01,4.79,9.0,1.19,7.31,4.27,472.65,98.26,0.84,207.2,10.9,64.95,53.13,0.0,-1.01
2.5,4.14,8.99,9.0,1.08,7.31,4.72,581.99,181.33,1.05,312.46,10.87,66.43,51.91,0.0,-0.15
4.66,5.01,4.79,9.0,1.19,7.31,4.33,509.0,125.1,0.9,242.46,10.83,65.27,52.47,0.0,-0.73
4.66,5.01,5.61,9.0,1.19,7.31,4.47,541.2,149.54,0.96,272.2,10.82,65.92,52.15,0.0,-0.48
