minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.46,7.68,6.32,9.0,1.65,6.43,4.01,457.41,79.07,0.82,195.6,10.76,63.94,52.56,0.0,-1.14
4.29,5.48,6.6,9.0,1.09,6.99,4.04,458.7,95.76,0.81,192.56,11.02,65.05,53.0,0.0,-1.26
1.27,7.31,6.46,9.0,0.87,2.64,4.02,452.61,99.99,0.81,185.28,11.06,65.37,53.18,0.0,-1.3
2.82,8.33,9.63,9.0,0.89,7.19,4.08,456.3,94.61,0.79,182.48,11.37,67.41,53.21,0.0,-1.47
3.45,8.88,3.85,9.0,1.1,5.63,4.46,477.35,105.41,0.85,211.53,10.97,65.1,52.63,0.0,-0.82
2.69,8.3,11.0,9.0,1.29,2.54,4.22,486.08,108.49,0.86,218.29,10.89,65.54,52.14,0.0,-0.88
3.26,6.62,14.59,9.0,1.72,3.99,4.56,593.43,164.39,1.07,329.8,10.54,64.49,51.35,0.0,-0.07
2.09,5.22,7.91,9.0,0.79,3.43,4.34,457.26,100.18,0.84,191.56,11.1,64.97,53.83,8.0,4.0
3.0,4.99,11.03,9.0,1.57,7.16,4.53,611.21,179.45,1.05,342.38,10.64,66.38,50.68,0.0,-0.02
1.83,8.95,10.39,9.0,1.44,6.86,4.27,521.55,156.53,0.94,255.18,10.97,65.19,52.61,0.0,-0.75
4.37,8.33,9.63,9.0,0.89,4.35,4.65,472.28,113.5,0.87,204.47,11.22,65.5,54.3,0.0,-0.99
1.64,8.28,9.62,9.0,0.86,7.19,4.12,459.21,112.99,0.84,189.69,11.39,65.92,54.05,2.0,4.0
2.82,5.31,9.63,9.0,0.89,6.85,4.11,459.91,101.7,0.81,191.43,11.18,65.75,53.31,0.0,-1.31
2.82,6.6,9.63,9.0,1.33,3.51,4.11,475.97,97.54,0.83,209.85,10.86,65.11,52.35,0.0,-1.02
2.82,4.72,9.63,9.0,0.89,3.35,4.72,471.06,106.26,0.84,202.96,10.97,65.52,52.73,0.0,-0.62
3.36,8.33,9.63,9.0,0.89,4.05,4.31,494.3,128.81,0.88,225.26,11.21,65.78,53.54,0.0,-1.09
3.16,8.33,9.5,9.0,0.89,7.19,4.33,473.13,113.57,0.86,203.5,11.35,65.95,54.27,0.0,-1.31
2.82,8.35,9.63,9.0,1.68,6.23,4.9,552.65,159.3,1.01,287.25,10.69,64.9,51.55,0.0,0.05
1.64,7.3,9.62,9.0,0.86,7.19,4.86,458.7,108.45,0.83,189.95,11.28,65.9,53.25,2.0,4.0
1.64,8.28,9.62,9.0,0.86,6.48,4.03,455.58,109.57,0.82,185.95,11.38,65.92,53.98,2.0,4.0
1.64,6.38,4.57,9.0,1.7,6.24,4.26,484.22,109.39,0.87,223.21,10.58,63.65,51.76,0.0,-0.61
3.43,8.28,11.04,9.0,1.33,7.78,4.26,493.95,112.36,0.88,224.71,11.06,65.9,52.99,0.0,-1.04
1.64,5.74,5.38,9.0,1.28,7.19,4.87,518.47,135.68,0.93,252.5,10.84,65.11,52.24,0.0,-0.25
1.64,8.28,9.62,9.0,0.86,7.19,4.12,459.21,112.99,0.84,189.69,11.39,65.92,54.05,2.0,4.0
1.64,6.2,13.97,9.0,1.92,7.19,4.3,510.29,128.48,0.92,249.36,10.64,63.66,51.8,0.0,-0.54
4.9,7.24,9.62,9.0,0.86,3.83,4.36,497.88,134.35,0.91,230.08,11.12,65.39,54.14,0.0,-1.05
2.82,8.33,11.77,9.0,0.89,6.55,4.3,492.72,124.44,0.87,219.41,11.31,67.24,53.08,0.0,-1.13
4.97,8.33,11.52,9.0,0.89,7.81,4.71,535.32,167.3,0.99,265.84,11.21,66.03,53.47,0.0,-0.62
2.82,4.66,9.63,9.0,0.94,7.19,4.48,516.59,147.53,0.96,250.91,10.98,64.95,53.29,0.0,-0.71
2.82,5.48,9.63,9.0,1.7,7.19,4.24,500.22,104.34,0.88,237.76,10.68,64.03,51.75,0.0,-0.71
2.39,6.12,14.35,9.0,1.87,7.19,4.35,526.06,125.66,0.95,264.36,10.62,63.83,51.85,0.0,-0.51
2.29,8.33,7.82,9.0,0.92,7.19,4.2,456.59,99.17,0.83,187.56,11.31,65.8,54.09,0.0,-1.43
2.82,8.33,11.72,9.0,0.89,7.19,4.33,510.98,144.05,0.93,240.45,11.35,66.18,54.12,0.0,-1.17
2.45,7.63,9.63,9.0,1.36,6.03,4.16,478.46,106.31,0.87,212.63,10.99,64.93,52.93,0.0,-1.09
1.6,6.24,11.13,9.0,1.57,3.28,4.22,488.05,115.84,0.87,226.0,10.66,63.93,51.66,0.0,-0.65
2.82,5.48,8.51,9.0,1.33,3.68,4.41,492.63,109.07,0.9,231.46,10.78,63.77,52.82,0.0,-0.74
2.82,8.48,8.77,9.0,0.83,7.19,4.38,502.48,139.34,0.91,232.3,11.37,66.08,54.31,11.0,4.0
2.82,6.01,9.63,9.0,1.7,4.25,4.31,489.01,98.97,0.89,231.41,10.56,62.84,52.17,0.0,-0.65
2.83,8.42,6.27,9.0,1.33,3.4,4.17,474.07,101.05,0.86,210.59,10.86,64.3,53.34,0.0,-1.08
4.19,5.48,8.7,9.0,1.86,5.76,4.37,567.68,133.32,0.97,303.03,10.46,64.85,50.72,0.0,-0.23
2.97,9.08,11.43,9.0,1.7,3.47,4.11,502.98,120.16,0.88,237.71,10.7,64.82,51.71,0.0,-0.75
2.82,8.02,9.63,9.0,1.03,3.48,4.11,474.59,105.86,0.84,205.59,11.11,65.84,53.07,0.0,-1.22
4.19,7.7,13.87,9.0,0.9,7.34,4.58,553.23,177.37,1.03,284.82,11.24,65.67,54.55,0.0,-0.82
4.19,5.48,8.7,9.0,0.81,5.76,4.16,448.63,96.1,0.8,180.39,11.16,65.69,53.32,0.0,-1.29
2.15,7.31,3.86,9.0,0.81,5.76,4.13,476.26,114.63,0.87,207.85,11.18,65.66,53.49,8.0,4.0
4.57,5.65,8.7,9.0,0.85,5.72,4.19,465.43,109.1,0.83,196.74,11.12,65.82,53.38,0.0,-1.19
2.82,8.33,9.63,9.0,1.86,5.76,4.58,490.98,113.44,0.89,230.85,10.64,63.35,52.46,0.0,-0.46
4.19,6.17,8.93,9.0,1.34,6.28,4.38,511.6,123.33,0.93,247.94,10.88,64.48,53.39,0.0,-0.84
4.19,8.33,14.11,9.0,1.16,5.95,4.58,578.82,181.55,1.02,307.65,11.0,66.8,52.55,0.0,-0.42
2.86,5.48,9.39,9.0,1.17,5.76,4.17,485.28,110.92,0.87,218.35,11.03,65.21,53.34,0.0,-1.14
1.43,5.48,5.03,9.0,1.01,5.76,4.31,478.82,113.54,0.87,213.42,10.99,64.81,53.15,0.0,-0.97
3.27,7.81,8.7,9.0,1.86,3.38,4.41,563.21,148.4,0.98,299.47,10.37,64.71,50.24,0.0,-0.02
4.19,9.16,6.1,9.0,1.86,5.2,4.3,517.26,113.52,0.93,255.99,10.48,63.56,51.97,0.0,-0.52
4.56,8.51,8.7,9.0,0.9,5.14,4.16,481.74,119.0,0.86,212.28,11.22,65.94,53.44,0.0,-1.24
4.19,5.05,8.7,9.0,1.86,3.57,4.77,568.86,134.17,0.97,307.26,10.24,64.06,49.94,0.0,0.32
3.42,5.07,8.7,9.0,1.86,5.76,4.52,601.63,158.88,1.05,337.58,10.37,64.85,50.0,0.0,0.14
4.19,5.48,5.17,9.0,1.86,5.76,4.69,625.15,180.56,1.07,363.05,10.25,64.24,50.32,0.0,0.4
4.19,5.48,8.59,9.0,1.86,5.76,4.51,562.11,132.14,0.97,298.17,10.43,64.66,50.72,0.0,-0.1
2.82,8.33,9.63,9.0,1.58,7.19,4.47,457.17,91.15,0.82,193.16,10.88,64.56,52.41,0.0,-0.79
2.82,8.33,9.63,9.0,1.61,7.19,4.53,488.97,114.78,0.88,225.39,10.82,64.35,52.49,0.0,-0.61
2.45,5.41,9.63,9.0,1.38,7.19,4.33,511.82,120.27,0.91,245.79,10.91,65.05,52.85,0.0,-0.84
2.82,8.33,8.2,9.0,0.88,6.38,4.17,497.88,131.0,0.89,226.01,11.27,66.76,53.23,0.0,-1.19
2.82,8.33,9.63,9.0,0.89,2.57,4.2,520.84,146.27,0.95,252.18,11.08,65.71,53.16,0.0,-0.98
2.82,5.02,8.97,9.0,0.89,4.11,4.26,462.36,104.33,0.84,197.98,11.04,64.69,53.5,0.0,-1.12
2.82,8.33,11.58,9.0,0.89,3.59,4.27,461.63,101.64,0.84,192.91,11.25,65.71,53.8,0.0,-1.29
1.54,8.33,12.84,9.0,0.83,7.19,4.21,448.09,106.69,0.81,177.88,11.46,66.22,54.12,9.0,4.0
2.82,8.33,12.08,9.0,0.95,5.0,4.44,457.03,98.58,0.83,188.62,11.3,65.63,54.01,0.0,-1.23
2.82,8.33,5.62,9.0,1.37,6.38,4.37,550.93,158.19,1.0,285.13,10.84,65.05,52.59,0.0,-0.58
3.9,5.03,8.2,9.0,0.88,6.38,4.46,529.45,157.58,0.96,260.81,11.04,65.74,53.19,0.0,-0.71
2.82,8.95,8.2,9.0,0.88,4.97,4.2,509.03,137.53,0.89,236.59,11.24,67.28,52.67,0.0,-1.06
1.7,8.33,8.2,9.0,0.88,3.1,4.38,496.06,140.61,0.88,228.13,11.09,65.66,52.74,0.0,-0.82
2.82,8.33,8.2,9.0,0.88,6.38,4.17,497.88,131.0,0.89,226.01,11.27,66.76,53.23,0.0,-1.19
3.59,8.33,6.84,9.0,1.18,6.38,4.29,488.29,113.84,0.89,222.2,11.07,65.0,53.66,0.0,-1.1
3.89,4.99,8.2,9.0,0.88,7.3,4.57,461.21,105.45,0.84,195.18,11.11,65.07,53.86,0.0,-0.96
2.82,6.64,6.02,9.0,0.89,7.19,4.19,482.09,118.42,0.87,214.12,11.14,65.68,53.04,0.0,-1.13
2.6,4.97,9.63,9.0,0.89,7.19,4.42,513.26,146.35,0.93,247.31,11.1,65.02,53.62,0.0,-0.88
2.82,8.33,9.84,9.0,0.89,4.78,4.05,465.97,105.79,0.82,195.14,11.3,66.54,53.01,0.0,-1.38
2.79,5.66,9.63,9.0,0.85,7.19,4.54,527.55,155.51,0.94,256.93,11.14,66.56,52.79,2.0,4.0
2.54,8.33,8.93,9.0,0.89,7.19,4.06,464.41,105.09,0.84,194.15,11.38,66.18,54.0,0.0,-1.55
2.82,8.33,4.49,9.0,0.89,7.19,5.59,944.18,521.7,1.47,658.61,10.66,71.38,48.33,0.0,2.49
4.55,6.45,9.63,9.0,0.81,5.46,4.34,512.7,150.2,0.93,244.13,11.19,65.61,53.64,2.0,4.0
2.82,5.79,9.63,9.0,0.9,7.19,4.75,463.89,106.2,0.86,197.22,11.2,65.23,54.2,0.0,-0.92
2.43,4.68,5.05,9.0,0.89,4.78,4.75,463.85,100.95,0.86,199.39,10.96,64.64,53.81,0.0,-0.74
2.82,7.67,4.89,9.0,1.66,3.22,4.51,496.85,109.36,0.89,235.78,10.47,63.55,51.48,0.0,-0.31
