minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.39,3.94,8.67,9.0,1.15,2.29,4.73,510.58,125.59,0.89,253.18,10.07,63.16,50.11,0.0,0.34
2.73,3.51,5.04,9.0,1.75,5.39,5.13,574.07,168.27,1.01,317.37,9.94,63.13,49.27,0.0,1.0
4.21,4.36,5.05,9.0,1.79,3.36,5.14,562.85,161.42,0.99,308.2,9.92,62.4,50.19,0.0,0.89
1.73,4.44,3.6,9.0,0.71,5.66,4.65,532.5,144.28,0.94,274.82,10.17,63.28,50.14,18.0,4.0
1.51,4.44,4.13,9.0,1.36,6.49,5.0,638.73,224.58,1.08,378.69,9.98,64.23,48.34,0.0,1.22
1.76,4.24,7.65,9.0,1.82,6.6,4.68,511.64,124.26,0.92,257.59,10.03,62.31,50.33,0.0,0.29
1.77,3.7,4.02,9.0,1.68,7.33,4.49,545.75,142.29,0.93,286.9,10.02,63.76,48.77,0.0,0.41
4.38,1.7,4.22,9.0,0.8,6.75,4.65,574.49,176.76,0.99,316.4,9.94,63.51,49.27,1.0,4.0
4.24,4.6,5.3,9.0,1.78,7.78,4.94,660.79,238.79,1.11,401.25,9.93,64.13,48.17,0.0,1.29
3.42,4.71,5.96,9.0,0.94,5.49,4.85,664.05,248.95,1.1,400.71,10.06,65.09,48.32,0.0,1.16
2.87,3.78,4.02,9.0,1.82,6.6,5.47,671.21,244.05,1.14,412.99,9.88,63.57,48.45,0.0,1.72
3.56,3.87,4.69,9.0,1.82,6.6,5.03,534.86,137.68,0.95,279.72,10.01,62.6,50.06,0.0,0.66
1.76,4.24,7.65,9.0,1.82,3.68,4.64,538.05,141.96,0.98,284.81,9.98,62.14,50.08,0.0,0.39
2.26,4.24,2.44,9.0,1.82,7.16,4.33,494.1,108.78,0.89,241.06,9.99,62.13,49.84,0.0,0.04
3.03,4.24,4.21,9.0,1.82,6.6,4.65,584.2,178.31,1.01,326.18,9.94,63.57,48.89,0.0,0.72
1.79,4.24,7.65,9.0,1.82,6.6,5.1,645.56,218.05,1.05,382.44,9.94,65.44,47.48,0.0,1.4
1.26,4.94,7.65,9.0,1.82,7.18,4.66,612.71,203.36,1.05,353.07,10.0,64.11,48.67,0.0,0.82
3.91,4.24,7.65,9.0,1.15,2.02,4.71,533.74,146.43,0.96,280.17,10.03,62.23,50.75,0.0,0.36
3.56,2.82,4.69,9.0,1.29,6.6,4.63,571.74,171.75,0.99,314.0,10.0,63.46,49.29,0.0,0.59
3.56,3.87,8.26,9.0,1.82,2.84,5.07,656.51,231.23,1.08,396.82,9.89,64.04,48.16,0.0,1.38
3.66,3.87,4.69,9.0,0.63,4.41,5.09,604.89,209.42,1.03,344.83,10.02,64.17,48.8,3.0,4.0
2.27,5.06,4.41,9.0,1.82,6.6,5.29,652.14,228.61,1.13,392.73,9.92,63.95,48.53,0.0,1.48
2.58,2.77,7.0,9.0,1.52,6.6,5.32,659.25,238.33,1.15,399.82,9.86,64.04,48.59,0.0,1.57
4.19,2.28,6.24,9.0,0.62,6.6,5.1,558.14,167.95,0.97,299.1,10.04,63.73,49.53,3.0,4.0
3.56,3.87,6.11,9.0,1.82,6.6,4.95,522.93,133.04,0.95,269.92,9.98,62.06,49.78,0.0,0.63
2.98,4.96,4.69,9.0,0.66,6.6,5.03,575.4,185.75,1.01,316.79,10.08,63.57,49.93,15.0,4.0
2.26,4.24,2.44,9.0,1.82,2.14,4.53,557.83,148.93,0.98,302.31,9.86,62.7,49.01,0.0,0.54
1.9,4.24,2.93,9.0,1.82,2.94,4.75,636.68,209.56,1.07,375.89,9.84,64.42,47.44,0.0,1.16
2.88,4.24,2.44,9.0,1.82,6.83,4.69,617.24,195.72,1.04,357.33,9.89,64.18,48.18,0.0,0.94
4.0,2.01,2.44,9.0,1.82,3.26,4.57,617.8,193.5,1.0,358.14,9.74,64.29,46.83,0.0,1.09
2.26,4.24,6.08,9.0,1.99,7.16,4.66,624.27,201.24,1.07,366.12,9.92,63.74,48.29,0.0,0.9
2.11,4.24,2.44,9.0,1.53,7.16,4.57,616.61,199.63,1.03,354.76,9.98,64.63,47.89,0.0,0.84
4.92,3.81,2.44,9.0,1.05,2.23,4.71,565.58,168.26,0.99,309.82,9.95,62.79,49.62,0.0,0.63
3.38,4.24,2.44,9.0,1.5,7.16,4.74,591.02,181.51,1.02,332.59,9.99,63.69,48.79,0.0,0.78
4.01,4.24,5.89,9.0,1.21,7.16,4.48,534.01,145.17,0.95,278.04,10.11,62.87,50.27,0.0,0.18
2.26,4.45,8.73,9.0,1.29,7.91,5.35,662.3,244.66,1.11,397.74,9.99,65.52,48.25,0.0,1.58
2.36,4.24,4.92,9.0,1.82,7.16,4.79,574.17,167.7,1.01,318.55,9.97,62.72,49.27,0.0,0.72
2.26,3.98,2.27,9.0,1.82,7.97,5.16,560.14,157.54,0.99,304.71,9.87,62.72,49.13,0.0,1.04
2.82,4.5,2.44,9.0,1.82,7.16,4.7,580.12,168.3,1.02,322.92,9.96,63.11,49.21,0.0,0.66
2.26,4.24,2.44,9.0,1.82,7.16,4.82,632.24,214.57,1.09,374.07,9.87,63.54,48.24,0.0,1.12
4.51,4.24,2.44,9.0,0.73,4.02,4.44,509.85,131.83,0.93,257.25,10.08,62.03,50.64,0.0,0.07
2.26,1.68,2.44,9.0,1.82,3.91,4.61,608.03,184.24,1.02,350.2,9.72,63.57,47.46,0.0,1.02
3.28,4.24,2.44,9.0,1.82,2.57,4.58,526.25,131.59,0.93,275.43,9.84,61.51,49.43,0.0,0.47
2.26,4.24,2.44,9.0,1.82,3.48,4.88,504.17,119.06,0.9,251.27,9.92,61.96,49.96,0.0,0.54
2.26,2.71,2.44,9.0,1.38,5.57,4.91,636.37,224.23,1.09,379.26,9.86,63.4,48.81,0.0,1.17
2.42,1.62,2.44,9.0,1.82,7.16,4.94,635.78,208.82,1.08,378.01,9.71,63.69,47.49,0.0,1.38
4.47,2.46,2.44,9.0,1.82,7.16,4.63,536.47,138.62,0.95,284.43,9.87,61.86,49.72,0.0,0.48
2.26,1.95,2.44,9.0,1.82,7.06,4.46,553.87,146.87,0.94,296.97,9.82,63.21,48.1,0.0,0.61
4.0,2.54,2.44,9.0,1.36,7.16,5.0,576.67,172.17,1.0,320.19,9.92,62.88,49.21,0.0,0.94
4.77,4.24,3.0,9.0,1.82,7.16,4.91,524.57,131.1,0.92,268.65,9.97,62.82,49.07,0.0,0.68
2.26,4.24,2.44,9.0,1.82,7.16,5.12,532.68,137.18,0.97,279.19,9.92,62.19,49.57,0.0,0.84
2.26,4.24,2.44,9.0,0.92,7.16,4.49,533.49,150.15,0.99,281.28,10.06,61.91,50.34,0.0,0.23
4.83,4.24,4.15,9.0,1.82,7.16,5.34,575.01,171.07,0.99,319.49,9.94,62.87,49.04,0.0,1.2
1.27,4.91,2.44,9.0,1.97,7.16,4.69,540.74,147.67,0.98,285.74,9.96,62.52,50.6,0.0,0.41
3.03,4.24,2.44,9.0,1.82,7.16,4.61,527.39,136.2,0.96,275.42,9.91,61.76,50.11,0.0,0.39
2.25,4.86,8.94,9.0,1.76,7.16,4.71,618.06,201.42,1.05,359.11,10.01,64.0,48.48,0.0,0.87
4.1,3.1,2.44,9.0,0.89,4.67,5.62,593.38,193.26,1.03,334.69,9.94,63.74,49.04,0.0,1.51
2.26,4.24,2.44,9.0,1.52,7.16,6.34,1178.26,705.55,1.7,902.75,9.43,69.12,44.43,0.0,5.06
3.41,3.54,5.21,9.0,1.69,6.81,4.43,518.62,128.45,0.93,266.3,10.0,61.83,50.46,0.0,0.12
1.72,1.32,7.93,9.0,1.5,7.16,5.24,618.81,201.49,1.05,361.4,9.75,63.6,47.69,0.0,1.53
2.46,4.24,2.44,9.0,0.76,7.16,5.17,695.22,281.63,1.18,432.52,9.96,64.9,48.85,9.0,4.0
4.43,4.24,3.84,9.0,1.45,7.16,4.69,533.44,140.63,0.94,278.91,10.01,62.52,49.88,0.0,0.43
2.02,4.03,2.44,9.0,1.73,6.8,5.42,689.81,253.18,1.12,423.85,9.9,66.03,47.19,0.0,1.85
3.81,1.95,2.44,9.0,1.24,7.16,4.76,620.85,207.19,1.05,362.56,9.85,63.72,48.27,0.0,1.05
1.84,1.35,5.24,9.0,0.74,7.64,5.49,618.91,211.73,1.07,362.05,9.83,63.23,48.8,3.0,4.0
1.87,3.0,2.44,9.0,1.62,7.5,4.81,508.64,119.19,0.91,254.42,9.98,62.35,49.77,0.0,0.47
2.26,1.64,2.44,9.0,1.82,7.16,5.11,626.12,198.77,1.04,366.7,9.74,64.17,46.95,0.0,1.51
2.44,4.61,2.44,9.0,1.82,7.16,5.39,862.84,405.44,1.33,593.32,9.7,67.22,45.98,0.0,2.73
2.26,1.57,7.77,9.0,1.69,2.43,5.06,715.78,273.04,1.15,453.99,9.63,64.85,46.23,0.0,1.94
2.26,4.86,2.44,9.0,1.82,7.16,4.75,617.01,198.25,1.08,360.41,9.92,63.11,48.75,0.0,0.91
3.56,3.41,2.44,9.0,1.82,7.16,5.21,648.28,220.38,1.09,389.21,9.84,64.0,47.83,0.0,1.51
2.34,5.0,2.44,9.0,1.82,4.92,4.6,626.41,206.32,1.05,366.56,9.92,64.07,48.05,0.0,0.91
2.26,4.24,2.44,9.0,1.82,7.16,4.87,663.18,234.39,1.11,402.98,9.88,64.34,48.19,0.0,1.24
2.26,2.88,6.11,9.0,1.82,6.75,6.71,934.0,476.96,1.47,665.68,9.58,66.84,46.23,0.0,4.09
3.55,2.28,4.24,9.0,1.82,7.16,4.78,631.91,206.29,1.04,372.22,9.85,64.14,47.62,0.0,1.14
2.26,3.2,8.62,9.0,1.82,7.16,4.7,563.25,156.74,0.99,306.58,9.99,63.07,49.25,0.0,0.59
3.68,4.6,4.97,9.0,1.67,7.16,4.99,532.52,141.02,0.96,278.12,10.0,62.48,50.07,0.0,0.65
2.26,4.24,6.68,9.0,0.64,7.16,4.47,538.05,150.19,0.92,276.23,10.17,64.56,49.4,24.0,4.0
2.26,4.24,5.91,9.0,1.82,7.38,4.92,538.37,140.63,0.95,282.26,10.02,62.91,49.33,0.0,0.67
2.26,1.56,2.26,9.0,1.93,7.05,4.58,547.62,141.16,0.97,294.62,9.74,62.09,49.22,0.0,0.6
2.26,4.22,4.94,9.0,1.43,2.55,4.88,684.27,256.15,1.13,422.97,9.86,64.89,47.29,0.0,1.46
2.64,4.24,2.44,9.0,1.82,6.26,4.61,619.45,198.17,1.04,359.16,9.9,64.34,47.73,0.0,0.93
2.19,2.77,4.69,9.0,1.67,7.16,5.02,698.11,270.62,1.17,436.95,9.83,64.68,47.55,0.0,1.62
3.68,2.89,4.37,9.0,1.67,7.39,4.43,567.31,157.33,0.96,307.73,9.96,64.07,48.47,0.0,0.5
1.68,4.24,7.88,9.0,0.6,7.16,4.83,470.92,104.27,0.87,217.65,10.22,62.13,51.56,38.0,4.0
3.77,4.24,2.44,9.0,0.7,7.16,4.68,546.01,160.71,0.97,289.95,10.08,62.87,49.81,1.0,4.0
3.35,4.83,4.97,9.0,1.45,7.16,4.74,600.31,189.03,1.02,339.93,10.03,64.03,48.89,0.0,0.78
3.68,4.6,4.46,9.0,1.67,5.24,4.72,525.43,132.94,0.93,271.43,9.99,62.39,49.98,0.0,0.42
3.68,4.6,4.97,9.0,1.67,7.16,4.75,566.42,167.38,1.05,313.21,9.96,62.06,50.43,0.0,0.55
1.8,1.74,4.08,9.0,1.69,7.16,4.98,652.62,222.37,1.08,393.48,9.78,64.03,47.57,0.0,1.41
2.97,4.78,8.3,9.0,1.14,6.09,4.97,695.52,265.82,1.11,427.21,10.02,66.76,47.41,0.0,1.46
2.26,4.24,5.96,9.0,1.82,7.16,4.69,617.49,204.3,1.09,360.66,9.94,63.27,48.66,0.0,0.88
