minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.8,2.63,5.16,9.0,1.99,3.97,5.02,726.01,271.59,1.15,467.22,9.55,64.31,45.98,0.0,1.98
2.35,1.7,3.94,9.0,1.34,7.8,5.32,787.14,340.88,1.25,524.9,9.5,65.57,45.5,0.0,2.59
4.06,4.72,7.92,9.0,1.57,4.48,4.56,608.5,186.98,1.02,348.95,9.93,64.19,48.07,1.0,4.0
2.79,3.39,8.14,9.0,0.88,7.78,4.65,564.63,175.68,1.0,306.98,10.03,63.33,49.87,0.0,0.53
1.5,3.94,4.63,9.0,1.23,4.83,4.61,515.88,129.76,0.91,260.72,10.05,62.71,50.13,0.0,0.27
4.61,3.52,6.93,9.0,1.97,6.41,4.81,681.15,236.42,1.11,420.78,9.76,64.55,46.98,0.0,1.42
1.67,3.27,8.76,9.0,1.28,3.85,5.03,562.5,164.86,0.99,306.67,9.93,63.03,48.73,0.0,0.98
3.64,2.48,8.91,9.0,1.27,3.88,5.08,717.82,284.91,1.17,454.25,9.75,65.59,46.73,0.0,1.87
3.04,2.91,5.16,9.0,1.22,6.08,5.29,681.47,253.6,1.1,418.33,9.91,65.24,47.6,0.0,1.7
2.05,2.65,4.25,9.0,1.99,5.61,4.79,624.96,190.72,1.08,371.0,9.64,62.59,47.65,0.0,1.21
2.79,3.39,8.14,9.0,0.88,5.81,4.97,546.31,158.55,0.98,289.98,10.08,62.99,50.43,1.0,4.0
2.79,3.39,4.85,9.0,1.98,6.65,4.46,517.26,114.71,0.92,266.13,9.81,61.7,49.49,0.0,0.32
2.79,3.39,5.96,9.0,0.88,7.78,4.92,683.42,266.83,1.12,420.09,9.96,65.46,47.53,0.0,1.44
3.99,4.03,8.14,9.0,0.88,7.78,4.88,583.99,188.54,1.04,325.88,10.09,63.56,49.86,0.0,0.73
2.51,3.39,5.03,9.0,0.88,5.1,5.99,1079.46,623.15,1.55,803.83,9.67,69.32,44.13,0.0,4.33
2.79,4.85,5.1,9.0,0.88,7.78,4.7,611.83,211.05,1.09,351.55,10.09,64.1,49.72,4.0,4.0
2.79,3.39,8.14,9.0,1.24,3.56,4.58,526.25,137.17,0.95,273.26,9.95,62.16,50.42,0.0,0.31
2.79,2.85,8.14,9.0,0.88,7.78,4.72,609.46,210.17,1.04,350.97,10.03,63.81,49.08,0.0,0.83
1.5,3.94,4.63,9.0,1.59,4.83,4.72,604.02,189.81,1.03,346.87,9.88,63.46,48.03,0.0,0.96
