minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.5,2.9,7.5,9.0,1.0,4.0,6.96,2080.6,1088.09,2.03,1844.45,5.33,58.95,27.8,0.0
4.0,2.44,7.46,9.0,1.9,2.8,4.8,720.03,224.09,1.07,452.85,9.65,66.28,45.34,0.0
1.94,3.48,7.79,9.0,0.61,2.77,4.15,443.33,89.97,0.79,179.7,10.81,64.41,52.38,54.0
2.92,1.9,11.19,9.0,1.19,5.89,5.0,534.32,143.92,0.98,276.84,10.24,63.12,50.82,0.0
3.74,2.05,9.59,9.0,1.28,5.41,5.09,688.97,258.61,1.14,423.44,10.12,65.69,48.54,0.0
1.48,3.69,14.33,9.0,1.92,5.39,4.47,584.47,149.36,1.01,319.16,10.31,65.12,49.52,0.0
4.12,2.53,12.59,9.0,1.64,4.63,4.96,706.56,232.77,1.08,433.26,10.15,67.88,47.49,0.0
2.19,5.44,13.3,9.0,0.79,2.47,4.38,500.77,132.61,0.89,231.18,11.02,65.87,52.88,6.0
3.27,1.69,14.15,9.0,0.8,5.22,4.85,556.82,179.56,0.97,298.47,10.26,63.46,50.59,1.0
1.74,4.68,9.22,9.0,0.54,5.25,4.22,426.18,81.39,0.77,159.05,11.3,65.24,54.18,118.0
2.48,2.28,11.9,9.0,1.52,6.85,4.58,552.96,139.71,0.98,294.2,10.26,63.45,49.9,0.0
1.48,2.23,10.18,9.0,1.92,6.05,4.76,590.16,147.12,1.01,331.58,9.95,63.63,48.13,0.0
1.48,2.43,14.33,9.0,1.92,5.58,4.74,583.49,144.12,1.01,324.64,10.02,63.66,48.57,0.0
1.39,3.69,14.33,9.0,1.18,5.27,5.1,490.92,112.6,0.9,224.73,10.87,65.12,52.9,0.0
3.74,3.69,14.33,9.0,1.56,4.33,4.73,589.88,162.01,1.06,325.17,10.46,64.87,50.86,0.0
1.48,3.69,14.33,9.0,1.18,2.7,4.35,524.84,130.8,0.91,257.78,10.62,65.52,50.83,0.0
1.48,3.69,10.13,9.0,0.84,5.39,4.29,458.34,97.12,0.83,191.4,11.03,65.23,53.48,4.0
3.76,5.31,14.33,9.0,0.65,2.23,4.34,484.36,129.06,0.87,217.1,10.99,65.29,53.12,21.0
1.48,5.72,14.33,9.0,1.64,7.86,4.17,495.14,120.03,0.89,231.77,10.79,64.43,52.28,0.0
1.48,1.65,14.33,9.0,1.64,3.83,5.04,658.52,197.28,1.09,397.96,9.66,64.46,46.2,0.0
1.39,5.72,14.33,9.0,1.32,5.27,4.3,524.72,148.15,0.96,259.08,10.93,65.02,52.68,0.0
1.48,3.69,9.6,9.0,1.58,5.27,4.45,525.93,117.71,0.92,263.38,10.52,64.22,50.77,0.0
1.28,3.69,9.92,9.0,1.18,6.29,4.46,538.6,145.16,0.96,271.12,10.82,65.49,51.98,0.0
1.39,3.64,14.33,9.0,1.06,4.38,4.4,496.07,118.98,0.88,230.32,10.86,65.02,52.24,0.0
1.48,4.1,13.45,9.0,1.2,7.48,4.47,511.11,126.59,0.92,245.15,10.93,64.97,52.96,0.0
