minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,0.2,1
3.5,4.83,10.13,9.0,1.64,2.86,4.51,576.78,149.33,1.02,313.03,10.35,64.47,50.63,0.0,0.03,0
1.54,5.5,11.15,9.0,1.44,5.36,4.47,495.15,120.22,0.9,232.59,10.84,64.24,52.83,0.0,-0.69,2
4.66,5.01,4.79,9.0,1.19,7.31,4.33,509.0,125.1,0.9,242.46,10.83,65.27,52.47,0.0,-0.73,4
4.1,5.01,4.79,9.0,1.19,7.31,4.27,472.65,98.26,0.84,207.2,10.9,64.95,53.13,0.0,-1.01,11
4.1,4.19,8.5,9.0,1.19,5.53,4.17,450.87,86.01,0.81,187.09,10.92,64.45,53.17,0.0,-1.15,24
4.35,4.5,8.5,9.0,1.04,4.62,4.18,450.81,89.41,0.81,186.11,10.97,64.76,53.19,0.0,-1.17,92
3.38,5.51,8.5,9.0,1.04,7.82,4.1,461.15,96.94,0.82,192.05,11.13,65.85,53.45,0.0,-1.33,102
2.48,5.51,8.5,9.0,1.04,7.82,4.07,461.57,96.79,0.82,193.24,11.15,65.6,53.38,0.0,-1.36,307
2.48,5.51,8.5,9.0,1.04,4.86,4.09,441.77,83.75,0.8,177.09,11.1,64.76,53.87,0.0,-1.42,466
2.34,5.51,9.59,9.0,0.95,5.73,4.08,442.4,85.91,0.81,175.5,11.19,65.29,54.03,0.0,-1.49,653
2.34,5.51,13.87,9.0,0.95,5.73,4.06,444.29,89.19,0.81,177.57,11.22,65.23,54.29,0.0,-1.55,809
