minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
4.46,7.68,6.32,9.0,1.65,6.43,4.01,457.41,79.07,0.82,195.6,10.76,63.94,52.56,0.0,-1.14,0
4.29,5.48,6.6,9.0,1.09,6.99,4.04,458.7,95.76,0.81,192.56,11.02,65.05,53.0,0.0,-1.26,1
1.27,7.31,6.46,9.0,0.87,2.64,4.02,452.61,99.99,0.81,185.28,11.06,65.37,53.18,0.0,-1.3,2
2.82,8.33,9.63,9.0,0.89,7.19,4.08,456.3,94.61,0.79,182.48,11.37,67.41,53.21,0.0,-1.47,3
2.54,8.33,8.93,9.0,0.89,7.19,4.06,464.41,105.09,0.84,194.15,11.38,66.18,54.0,0.0,-1.55,78
2.74,9.03,10.52,9.0,0.89,6.44,3.97,448.74,91.72,0.78,176.73,11.4,66.54,53.64,0.0,-1.64,229
2.74,9.03,10.66,9.0,0.89,6.45,4.01,448.61,94.17,0.81,179.14,11.39,65.88,54.24,0.0,-1.66,2215
1.53,9.12,10.66,9.0,0.94,7.7,4.01,449.27,106.74,0.83,181.11,11.4,65.57,54.74,0.0,-1.68,3490
1.53,9.12,10.66,9.0,0.94,7.72,3.99,439.58,97.61,0.8,170.41,11.43,65.82,54.57,0.0,-1.73,5675
3.08,7.98,12.07,9.0,0.94,7.72,3.98,442.3,87.56,0.8,171.66,11.4,66.2,54.38,0.0,-1.74,6183
3.08,7.98,12.07,9.0,0.94,7.73,3.95,441.34,87.16,0.79,171.09,11.4,66.08,54.37,0.0,-1.76,6502
