minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
2.36,2.55,5.01,9.0,1.65,3.99,5.39,611.7,189.75,1.05,353.39,9.87,63.57,48.35,0.0,1.45,2
4.77,4.08,6.14,9.0,1.32,6.02,5.51,561.71,161.8,1.0,302.43,10.22,63.52,50.48,0.0,0.95,3
2.84,2.93,7.49,9.0,1.66,2.47,4.69,610.75,181.34,1.02,349.74,9.89,64.38,47.72,0.0,0.93,4
4.68,2.57,4.34,9.0,1.9,4.59,4.66,609.67,182.97,1.04,354.64,9.82,62.59,48.5,0.0,0.87,7
4.68,2.57,5.77,9.0,1.53,2.91,4.68,554.8,151.97,0.97,300.66,9.92,62.17,49.78,0.0,0.54,10
1.25,1.76,4.34,9.0,1.77,4.59,4.63,505.16,106.99,0.91,256.38,9.75,60.72,49.6,0.0,0.44,11
3.41,4.97,4.34,9.0,1.9,4.59,4.47,566.93,150.86,0.98,308.58,10.04,63.42,49.23,0.0,0.36,19
4.68,4.86,4.34,9.0,1.29,4.59,4.32,496.25,116.04,0.88,240.95,10.27,62.6,50.51,0.0,-0.19,20
4.68,4.86,4.34,9.0,1.05,4.59,4.37,494.9,116.12,0.88,236.75,10.35,63.31,51.52,0.0,-0.32,116
2.1,4.86,8.51,9.0,1.08,4.59,4.36,482.12,107.2,0.87,223.78,10.43,63.42,51.25,0.0,-0.39,141
2.1,4.86,2.57,9.0,1.05,5.34,4.02,445.13,77.4,0.77,186.99,10.37,63.28,50.36,0.0,-0.63,371
2.1,4.86,3.93,9.0,0.84,5.34,4.26,444.31,85.31,0.82,190.48,10.43,62.22,51.94,0.0,-0.64,3517
