minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
3.49,3.65,7.41,9.0,1.57,2.4,4.76,592.74,174.35,1.04,338.4,9.8,62.49,48.86,0.0,0.88,0.0
2.84,4.88,8.33,9.0,1.11,6.47,4.72,555.23,164.22,1.01,298.59,10.18,63.01,50.86,0.0,0.33,7.0
3.25,3.65,7.41,9.0,1.27,2.4,4.53,502.71,117.61,0.9,248.78,9.96,62.4,50.24,0.0,0.2,20.0
1.85,3.65,2.33,9.0,1.27,2.4,4.2,470.71,88.94,0.85,219.74,9.9,61.64,49.64,0.0,-0.07,33.0
1.85,4.21,2.33,9.0,0.96,6.51,4.4,479.66,108.83,0.87,226.95,10.16,62.13,50.68,0.0,-0.11,187.0
1.85,4.21,2.33,9.0,0.96,3.2,4.34,472.98,103.18,0.87,221.05,10.1,61.89,50.71,0.0,-0.15,242.0
1.85,4.21,6.37,9.0,0.96,3.2,4.28,467.21,100.35,0.86,213.48,10.2,62.4,51.18,0.0,-0.33,312.0
1.85,4.41,6.23,9.0,0.96,3.2,4.23,465.08,95.12,0.83,208.74,10.23,63.04,51.01,0.0,-0.38,828.0
1.55,4.41,3.78,9.0,0.96,3.2,4.22,445.57,83.21,0.8,193.07,10.18,62.0,51.05,0.0,-0.42,2333.0
1.55,4.41,3.78,9.0,0.96,3.2,4.2,447.11,82.92,0.8,193.87,10.18,62.25,51.06,0.0,-0.43,3246.0
