minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
2.5,2.9,7.5,9.0,1.0,4.0,6.96,2080.6,1088.09,2.03,1844.45,5.33,58.95,27.8,0.0,,
2.58,2.14,6.55,9.0,1.96,2.34,4.71,636.29,159.99,1.05,380.83,9.4,62.65,46.15,0.0,0.84,0.0
2.28,1.96,14.6,9.0,1.05,7.55,4.86,608.76,200.92,1.06,344.22,10.39,65.33,49.56,0.0,0.48,2.0
4.18,4.57,9.01,9.0,1.69,5.2,4.2,466.64,84.33,0.83,207.16,10.56,63.44,51.99,0.0,-0.22,3.0
2.96,5.72,13.61,9.0,1.03,2.42,4.38,485.05,113.12,0.88,219.92,10.96,64.76,53.54,0.0,-0.31,9.0
4.04,5.72,8.14,9.0,1.03,5.09,4.22,471.18,105.93,0.85,204.52,11.04,65.24,53.16,0.0,-0.39,36.0
2.96,5.72,13.61,9.0,1.03,7.99,4.2,447.8,90.62,0.81,180.7,11.18,65.29,53.59,0.0,-0.5,41.0
2.96,5.72,3.93,9.0,0.87,7.99,4.07,453.89,97.04,0.83,188.54,11.12,64.84,53.89,0.0,-0.53,87.0
4.89,5.72,3.93,9.0,0.8,6.1,4.0,442.67,89.18,0.79,175.86,11.09,65.24,53.43,0.0,-0.54,222.0
4.89,5.72,3.93,9.0,0.8,6.18,4.03,440.45,88.37,0.8,174.17,11.13,65.06,53.87,0.0,-0.57,294.0
4.89,5.72,12.57,9.0,0.8,8.0,4.13,445.17,98.6,0.82,177.46,11.28,65.47,54.23,0.0,-0.58,1938.0
3.87,5.28,12.18,9.0,0.8,8.0,4.09,437.29,91.18,0.79,169.69,11.28,65.38,54.28,0.0,-0.61,2097.0
3.87,5.28,12.14,9.0,0.8,8.0,4.07,430.71,87.62,0.78,165.53,11.26,64.76,54.37,0.0,-0.62,2685.0
3.55,5.28,12.14,9.0,0.8,8.0,4.0,429.81,82.59,0.77,161.83,11.26,65.53,53.78,0.0,-0.63,2862.0
