minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.37,1.82,11.65,9.0,0.66,3.3,4.69,506.0,135.69,0.91,247.55,10.24,63.1,51.27,36.0
4.07,2.64,14.89,9.0,1.1,3.11,4.8,666.47,250.77,1.1,398.88,10.25,66.46,48.46,0.0
4.41,3.98,11.45,9.0,0.87,7.89,4.54,479.81,119.49,0.85,212.04,11.06,65.63,52.96,0.0
3.59,3.26,4.37,9.0,1.0,5.65,4.82,537.83,154.54,0.97,276.09,10.59,64.11,51.47,0.0
4.15,2.56,4.84,9.0,1.99,4.08,5.28,737.62,240.0,1.16,474.36,9.6,65.23,46.35,0.0
2.55,1.58,9.3,9.0,0.6,2.9,4.71,498.82,129.48,0.91,244.66,10.02,62.14,51.24,36.0
2.7,2.95,6.62,9.0,1.53,5.5,4.58,565.2,144.58,0.98,302.91,10.27,64.5,49.82,0.0
3.89,2.84,10.68,9.0,0.8,5.08,4.53,519.5,154.87,0.94,256.05,10.72,64.44,52.25,1.0
2.77,1.96,4.88,9.0,1.17,5.08,4.62,560.27,155.18,0.97,301.46,10.03,63.51,48.98,0.0
4.64,3.94,9.44,9.0,0.86,3.59,4.31,488.27,125.86,0.87,223.39,10.86,64.78,52.62,0.0
4.15,5.6,6.37,9.0,1.99,4.08,4.42,571.62,130.25,0.98,311.03,10.17,63.8,49.76,0.0
1.38,4.8,7.43,9.0,1.68,4.08,4.27,512.84,124.3,0.93,255.59,10.43,62.74,51.2,0.0
4.92,2.56,12.99,9.0,1.99,2.3,5.42,745.69,260.6,1.22,486.28,9.47,63.76,46.77,0.0
4.15,2.56,4.84,9.0,1.99,4.08,5.28,737.62,240.0,1.16,474.36,9.6,65.23,46.35,0.0
4.15,5.01,5.53,9.0,1.18,3.8,4.44,515.45,130.57,0.93,253.53,10.7,64.01,52.34,0.0
4.78,3.11,4.84,9.0,1.99,7.75,4.51,585.24,144.36,1.0,327.61,9.98,62.91,49.36,0.0
4.15,2.56,14.42,9.0,1.61,4.08,4.87,679.25,220.21,1.07,410.42,10.15,66.71,48.12,0.0
4.15,2.56,4.84,9.0,0.56,2.56,5.18,606.39,235.46,1.11,348.45,10.18,63.08,50.98,29.0
4.15,4.08,13.38,9.0,0.56,2.56,4.33,475.44,126.11,0.85,209.7,10.93,65.02,52.7,44.0
1.65,2.56,8.79,9.0,0.56,2.56,4.35,444.73,87.76,0.79,184.29,10.53,63.69,51.46,90.0
4.15,2.56,4.84,9.0,1.85,2.56,4.55,616.5,155.88,1.0,359.27,9.6,63.04,46.8,0.0
4.65,2.15,4.84,9.0,0.56,2.56,4.87,603.37,223.21,1.07,342.83,10.16,63.88,50.04,57.0
