minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.58,2.14,6.55,9.0,1.96,2.34,4.71,636.29,159.99,1.05,380.83,9.4,62.65,46.15,0.0,0.84
4.99,2.77,11.38,9.0,1.59,4.71,5.0,744.03,277.12,1.16,468.95,10.12,68.61,47.25,0.0,0.92
2.28,1.96,14.6,9.0,1.05,7.55,4.86,608.76,200.92,1.06,344.22,10.39,65.33,49.56,0.0,0.48
4.18,4.57,9.01,9.0,1.69,5.2,4.2,466.64,84.33,0.83,207.16,10.56,63.44,51.99,0.0,-0.22
2.98,3.98,3.97,9.0,0.76,2.46,4.23,459.97,100.72,0.84,201.46,10.64,63.14,52.6,2.0,4.0
1.69,3.46,10.94,9.0,1.09,4.84,4.53,488.62,115.03,0.9,227.69,10.77,63.86,52.83,0.0,-0.14
3.03,3.01,6.18,9.0,0.57,5.22,4.46,435.29,90.72,0.79,173.87,10.9,63.87,52.99,47.0,4.0
3.21,1.94,11.41,9.0,1.42,3.7,5.19,721.54,267.05,1.13,456.17,9.88,65.98,46.88,0.0,1.07
2.0,3.2,9.04,9.0,1.71,2.67,4.5,520.47,107.98,0.9,261.87,10.09,63.32,49.13,0.0,0.26
2.96,5.72,13.61,9.0,1.03,2.42,4.38,485.05,113.12,0.88,219.92,10.96,64.76,53.54,0.0,-0.31
2.4,4.57,7.37,9.0,1.03,7.87,5.3,482.33,116.33,0.89,218.41,10.97,64.51,53.35,0.0,0.07
3.03,5.72,9.01,9.0,1.67,2.95,4.38,525.34,116.81,0.95,265.48,10.41,63.43,51.03,0.0,0.02
2.06,5.75,13.69,9.0,1.18,5.12,4.37,508.86,127.78,0.91,241.67,11.05,65.36,53.33,0.0,-0.3
3.14,4.69,13.61,9.0,1.03,2.42,4.4,484.04,112.5,0.87,220.87,10.81,64.35,52.87,0.0,-0.21
3.38,3.82,4.96,9.0,1.92,5.2,4.72,604.21,160.41,1.03,344.97,10.09,63.34,49.65,0.0,0.43
4.18,2.59,9.01,9.0,1.69,6.92,5.05,753.7,273.76,1.13,480.15,10.15,67.88,47.36,0.0,0.91
4.18,2.59,9.01,9.0,1.38,2.42,4.62,500.29,109.68,0.89,247.44,10.04,61.71,50.62,0.0,0.24
2.96,5.72,13.61,9.0,1.28,5.2,4.5,531.27,141.65,0.98,266.91,10.88,64.67,53.0,0.0,-0.14
2.96,5.72,9.01,9.0,1.38,5.5,4.32,484.6,104.81,0.88,221.6,10.85,64.31,53.14,0.0,-0.29
