minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.53,5.23,5.84,9.0,1.99,7.36,4.56,600.88,154.14,1.03,337.42,10.25,64.98,49.33,0.0
2.19,4.98,5.87,9.0,1.5,4.25,4.29,522.23,119.01,0.92,260.19,10.52,64.06,51.18,0.0
4.75,5.58,13.44,9.0,1.57,5.35,4.36,552.35,139.94,0.95,285.46,10.7,65.46,51.46,0.0
3.94,2.93,8.17,9.0,1.08,7.64,4.43,514.17,136.66,0.94,251.01,10.68,64.46,52.3,0.0
4.47,4.72,6.65,9.0,0.6,4.51,4.14,455.41,110.15,0.83,188.74,11.17,65.17,53.83,31.0
3.68,2.48,4.3,9.0,1.01,6.35,4.83,510.24,133.27,0.88,251.65,10.39,63.25,51.23,0.0
4.21,3.68,4.0,9.0,1.99,3.29,4.64,614.13,152.56,1.05,357.04,9.81,62.72,48.67,0.0
1.8,4.95,6.57,9.0,1.39,2.27,4.72,468.08,83.92,0.82,206.68,10.48,63.81,51.14,0.0
3.09,3.1,11.11,9.0,1.24,2.32,4.72,595.55,181.69,1.05,333.16,10.27,64.33,49.77,0.0
2.76,1.74,12.06,9.0,1.98,7.09,4.93,681.15,209.03,1.07,420.93,9.66,64.62,46.13,0.0
3.94,2.93,8.17,9.0,1.08,7.64,4.43,514.17,136.66,0.94,251.01,10.68,64.46,52.3,0.0
4.69,3.56,4.26,9.0,0.88,7.64,4.33,482.55,119.76,0.85,217.23,10.88,64.92,52.46,0.0
1.68,4.37,13.05,9.0,1.08,7.64,4.26,467.4,98.17,0.82,197.77,11.09,66.19,52.41,0.0
2.15,4.95,12.55,9.0,1.05,2.59,4.33,494.62,117.44,0.88,227.95,10.86,65.18,52.32,0.0
3.94,2.93,8.17,9.0,1.08,7.64,4.43,514.17,136.66,0.94,251.01,10.68,64.46,52.3,0.0
1.26,2.93,13.11,9.0,1.08,5.39,4.54,511.6,130.67,0.93,250.23,10.71,63.99,52.37,0.0
3.55,2.93,8.17,9.0,1.08,3.11,4.66,545.22,154.67,0.95,283.34,10.44,64.05,50.92,0.0
2.27,2.93,8.17,9.0,0.83,7.64,4.26,455.98,98.13,0.82,191.99,10.89,64.62,52.8,1.0
3.62,4.37,13.05,9.0,1.08,3.59,4.56,545.49,158.22,0.99,279.35,10.79,65.17,52.24,0.0
1.68,4.37,12.41,9.0,1.65,7.64,4.27,463.59,84.54,0.84,202.5,10.7,63.84,51.95,0.0
1.68,4.37,11.98,9.0,1.08,7.64,4.4,523.46,139.55,0.92,253.36,10.98,66.63,51.81,0.0
1.68,4.37,13.13,9.0,1.08,4.66,4.34,467.28,99.51,0.85,200.97,10.98,65.13,52.96,0.0
1.68,4.09,13.05,9.0,1.08,7.64,4.46,525.69,141.52,0.93,257.67,11.0,65.69,52.49,0.0
1.89,4.36,13.05,9.0,1.53,3.89,4.3,488.78,101.52,0.88,228.2,10.6,63.67,51.79,0.0
2.83,4.32,13.05,9.0,1.08,3.22,4.67,572.68,176.57,1.04,306.15,10.77,65.2,52.47,0.0
1.68,4.37,11.47,9.0,1.08,4.08,4.29,478.12,106.23,0.86,212.51,10.9,64.95,52.59,0.0
1.68,4.37,13.05,9.0,1.66,3.4,4.44,508.51,108.34,0.91,248.11,10.47,63.6,51.12,0.0
4.92,4.37,13.48,9.0,1.08,2.4,4.35,506.91,125.63,0.88,240.66,10.71,65.18,51.82,0.0
1.68,3.84,13.05,9.0,1.08,7.64,4.32,486.32,113.48,0.89,220.21,11.01,65.07,53.16,0.0
1.68,4.32,13.05,9.0,1.81,7.26,4.51,499.99,106.07,0.9,239.94,10.56,63.57,51.52,0.0
4.8,4.37,12.48,9.0,1.08,7.64,4.53,484.32,116.77,0.87,218.21,11.01,65.09,53.15,0.0
1.68,4.09,14.46,9.0,1.4,5.17,4.21,495.06,108.28,0.9,231.4,10.8,64.5,52.24,0.0
1.68,4.37,7.02,9.0,1.49,3.37,4.48,555.61,143.32,0.99,294.72,10.43,63.7,51.07,0.0
2.18,4.37,13.05,9.0,1.2,7.64,4.48,502.72,121.15,0.9,235.63,11.01,65.35,53.04,0.0
1.68,4.37,13.05,9.0,1.08,3.36,4.87,471.96,105.58,0.86,209.38,10.87,64.14,53.3,0.0
4.29,4.37,13.05,9.0,1.23,5.87,4.74,537.31,141.9,0.95,267.96,10.86,66.06,52.45,0.0
1.68,4.98,5.19,9.0,1.08,7.64,4.77,476.04,106.81,0.88,210.9,10.97,64.76,53.27,0.0
3.07,4.37,10.1,9.0,1.08,2.95,4.45,506.83,126.01,0.9,239.42,10.76,65.44,52.1,0.0
1.59,4.37,12.48,9.0,0.78,7.64,4.26,443.35,90.13,0.8,175.64,11.17,65.56,53.08,18.0
4.39,4.37,12.48,9.0,1.08,2.16,4.48,539.86,148.73,0.95,275.06,10.61,64.76,51.75,0.0
1.68,4.37,9.12,9.0,0.54,7.64,3.99,428.22,83.07,0.77,159.75,11.3,65.7,53.57,127.0
4.8,4.37,12.59,9.0,1.08,7.64,4.38,509.54,134.41,0.9,242.0,10.97,65.58,52.91,0.0
4.8,4.37,8.43,9.0,1.86,6.04,4.52,555.57,126.81,0.96,293.31,10.37,64.07,50.84,0.0
2.94,4.37,13.7,9.0,1.08,7.64,4.2,465.42,101.4,0.84,198.06,11.1,65.31,53.29,0.0
4.8,4.37,4.38,9.0,0.56,7.95,4.13,454.78,108.22,0.81,187.24,11.11,65.61,52.7,36.0
2.7,4.05,12.59,9.0,1.08,7.64,4.85,487.88,115.07,0.88,220.53,11.02,65.35,52.89,0.0
1.68,4.01,13.05,9.0,1.14,3.09,4.46,548.87,154.84,1.0,285.69,10.66,64.43,51.63,0.0
1.93,4.37,12.59,9.0,1.84,7.64,5.22,605.18,175.14,1.1,342.64,10.4,64.25,50.92,0.0
1.68,4.37,13.05,9.0,1.08,7.64,4.26,467.4,98.17,0.82,197.77,11.09,66.19,52.41,0.0
1.68,4.37,13.05,9.0,1.08,5.8,4.43,488.59,116.66,0.9,222.76,11.07,65.02,53.41,0.0
2.94,2.89,6.19,9.0,1.08,7.5,4.29,460.42,94.13,0.82,198.88,10.71,64.07,51.76,0.0
3.27,4.37,10.22,9.0,1.08,7.64,4.5,519.43,140.13,0.94,252.59,10.97,65.26,52.92,0.0
4.99,1.75,9.69,9.0,1.64,6.7,5.32,867.17,369.54,1.23,593.92,9.68,68.17,44.95,0.0
2.94,5.11,13.7,9.0,0.7,7.67,4.04,444.96,94.95,0.78,174.2,11.28,66.23,53.53,24.0
2.94,4.37,13.7,9.0,1.03,7.64,4.37,480.8,112.56,0.87,212.82,11.05,65.59,53.02,0.0
4.28,1.73,13.7,9.0,1.08,7.64,5.46,705.46,294.21,1.13,440.2,10.07,65.76,48.26,0.0
2.94,4.37,13.7,9.0,1.08,7.55,4.4,517.68,139.77,0.94,252.09,10.99,64.94,53.0,0.0
2.94,1.88,13.7,9.0,1.04,7.64,4.88,577.09,181.88,1.05,315.61,10.37,64.06,50.61,0.0
2.94,1.88,13.7,9.0,1.32,7.64,4.85,643.76,212.48,1.03,377.35,10.22,66.03,48.29,0.0
4.97,1.88,5.58,9.0,1.12,7.64,5.09,706.46,288.0,1.16,440.01,9.97,66.32,47.75,0.0
2.94,1.88,14.19,9.0,0.9,7.64,5.02,541.13,163.79,0.97,280.69,10.42,64.01,51.11,0.0
1.96,1.88,13.7,9.0,1.68,7.64,5.04,671.72,208.41,1.1,406.13,10.0,66.01,47.28,0.0
4.28,1.88,13.7,9.0,1.04,7.64,4.97,664.67,256.01,1.08,396.94,10.27,66.69,48.32,0.0
2.94,4.81,8.08,9.0,1.56,2.85,4.66,473.43,91.19,0.85,217.45,10.44,62.41,51.7,0.0
2.94,1.88,13.7,9.0,1.04,2.59,4.93,624.87,211.52,1.05,364.05,9.93,64.32,48.3,0.0
4.84,1.81,10.83,9.0,1.04,7.64,5.37,805.97,368.98,1.29,528.64,10.07,69.18,46.85,0.0
1.53,2.99,13.7,9.0,1.08,7.64,4.63,508.8,126.6,0.91,242.78,10.84,65.15,51.91,0.0
2.94,4.37,6.21,9.0,1.08,3.18,4.36,545.56,154.05,0.99,281.86,10.64,64.45,51.58,0.0
3.07,4.37,13.44,9.0,1.08,7.64,4.74,607.49,208.88,1.1,337.36,10.88,66.37,52.28,0.0
2.7,4.37,12.91,9.0,1.34,7.79,5.56,563.62,158.95,1.02,295.04,10.81,65.82,52.42,0.0
4.05,3.0,8.72,9.0,1.08,7.69,4.51,537.37,152.2,0.96,271.6,10.73,65.1,52.1,0.0
2.28,5.12,5.76,9.0,1.08,5.03,4.28,504.89,123.77,0.89,238.1,10.92,65.28,52.64,0.0
2.94,3.8,6.15,9.0,1.08,7.64,4.53,473.18,103.45,0.85,208.19,10.87,64.85,52.53,0.0
2.94,4.37,5.54,9.0,1.08,5.54,4.18,499.02,118.31,0.87,231.51,10.87,65.5,52.15,0.0
2.16,1.6,13.7,9.0,0.99,5.17,4.91,572.77,174.51,1.01,314.02,10.09,63.8,49.38,0.0
1.91,2.68,14.56,9.0,1.13,4.8,4.5,528.62,137.62,0.92,264.74,10.56,64.74,50.93,0.0
4.66,4.95,13.7,9.0,1.52,2.42,4.68,606.05,180.66,1.04,341.99,10.34,64.67,50.35,0.0
2.94,4.37,7.64,9.0,1.84,3.81,4.47,547.82,123.34,0.98,288.16,10.27,63.34,50.3,0.0
2.39,1.47,13.64,9.0,1.26,7.64,5.27,689.93,248.67,1.13,426.96,9.89,65.27,47.34,0.0
2.94,1.82,13.7,9.0,1.08,2.33,5.05,581.73,174.41,0.99,322.37,9.85,63.66,48.45,0.0
2.94,4.37,13.79,9.0,1.08,7.64,4.27,490.68,117.6,0.87,221.63,11.08,65.87,53.07,0.0
2.94,4.37,12.8,9.0,1.08,6.32,4.28,497.91,122.14,0.88,228.74,10.99,66.12,52.38,0.0
1.52,2.73,14.09,9.0,1.08,2.97,5.08,528.3,136.95,0.93,263.29,10.44,64.95,50.71,0.0
2.94,5.31,13.7,9.0,1.08,4.4,4.49,520.73,138.34,0.93,252.01,10.99,65.74,53.09,0.0
2.94,4.37,14.86,9.0,1.08,7.64,4.35,483.34,112.49,0.86,215.61,11.07,65.49,53.2,0.0
3.67,3.16,13.7,9.0,1.08,7.64,4.62,548.96,162.78,0.95,281.6,10.81,65.53,52.06,0.0
1.45,3.74,13.7,9.0,0.64,6.89,4.25,428.09,80.02,0.78,161.19,11.2,65.14,54.19,72.0
