minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,0.2
1.55,4.78,7.66,9.0,1.11,6.51,4.3,528.61,141.12,0.93,259.1,10.96,66.17,52.27,0.0,-0.2
3.76,1.55,4.01,9.0,1.91,3.6,5.53,791.61,290.34,1.21,534.04,9.02,63.76,43.93,0.0,1.69
1.45,5.19,9.73,9.0,1.1,6.51,4.25,511.65,135.16,0.9,241.82,11.04,66.23,52.37,0.0,-0.27
1.82,3.27,7.6,9.0,0.52,3.49,4.22,428.96,81.22,0.77,166.12,10.92,64.29,53.23,108.0,4.0
1.4,4.12,8.67,9.0,1.59,6.51,4.37,473.66,92.18,0.85,212.64,10.64,63.85,51.9,0.0,-0.16
1.29,3.38,14.17,9.0,0.96,2.1,4.36,466.45,101.51,0.86,208.97,10.58,62.97,52.26,0.0,-0.15
4.65,1.58,4.51,9.0,1.69,6.52,5.14,767.97,273.26,1.14,506.45,9.45,65.08,45.79,0.0,1.26
3.44,4.43,5.51,9.0,1.27,4.04,4.61,558.21,156.61,1.03,294.86,10.56,64.42,51.91,0.0,0.09
4.12,4.45,8.5,9.0,1.16,4.32,4.48,539.95,145.59,0.96,272.76,10.8,65.41,52.46,0.0,-0.09
2.99,5.15,7.03,9.0,0.79,6.06,4.52,452.67,101.43,0.84,188.09,11.15,64.71,54.08,1.0,4.0
4.63,5.19,9.73,9.0,1.1,7.75,4.3,505.79,132.01,0.91,238.6,10.95,65.42,52.71,0.0,-0.25
1.45,1.74,8.33,9.0,0.59,4.69,4.63,459.04,99.71,0.83,203.09,10.32,62.5,51.37,75.0,4.0
4.73,5.19,9.73,9.0,0.65,2.46,4.19,462.63,109.57,0.83,194.32,11.04,65.6,52.74,6.0,4.0
1.45,5.19,9.73,9.0,1.1,6.57,4.59,505.72,133.13,0.92,238.41,11.09,65.31,53.9,0.0,-0.25
1.45,1.74,6.97,9.0,1.49,6.05,5.13,543.06,130.04,0.97,289.75,9.86,62.04,49.31,0.0,0.61
2.7,5.19,9.14,9.0,1.1,6.51,4.15,463.78,97.35,0.84,197.14,11.06,65.26,53.33,0.0,-0.45
1.45,5.19,8.87,9.0,1.1,2.76,4.24,482.15,110.68,0.87,217.92,10.87,64.6,52.81,0.0,-0.3
1.45,3.21,9.73,9.0,1.1,6.51,4.48,554.95,158.54,0.98,287.09,10.76,65.66,51.68,0.0,0.0
3.57,5.19,9.14,9.0,0.8,6.51,4.11,457.1,103.27,0.82,188.59,11.15,65.71,53.48,1.0,4.0
1.83,5.19,10.94,9.0,1.1,6.51,4.36,474.83,107.23,0.87,209.0,11.08,65.0,53.47,0.0,-0.36
2.7,5.38,10.57,9.0,1.1,6.51,4.16,460.38,92.98,0.81,190.77,11.1,65.93,52.78,0.0,-0.43
3.44,3.36,12.76,9.0,1.1,6.51,4.31,486.82,116.74,0.88,222.56,10.86,64.7,52.49,0.0,-0.23
2.7,3.83,9.14,9.0,1.1,6.51,4.37,501.12,120.04,0.89,235.03,10.92,65.03,52.78,0.0,-0.24
2.04,5.19,9.14,9.0,0.97,7.61,4.44,503.6,130.84,0.89,234.1,11.13,65.92,52.94,1.0,4.0
3.42,5.19,9.14,9.0,1.18,2.77,4.29,513.55,127.95,0.91,248.43,10.73,64.75,52.31,0.0,-0.17
2.97,3.76,9.14,9.0,1.0,7.63,4.65,487.4,117.99,0.88,221.38,10.96,65.07,53.3,0.0,-0.18
2.7,5.07,5.41,9.0,1.1,6.51,4.66,509.22,127.93,0.9,241.88,10.9,65.41,52.75,0.0,-0.1
2.32,2.7,7.23,9.0,1.1,6.51,4.37,520.6,134.47,0.92,260.2,10.57,63.76,51.03,0.0,0.0
4.08,4.97,9.14,9.0,1.88,7.64,4.47,559.78,132.41,0.97,296.63,10.47,64.3,50.93,0.0,0.08
3.61,1.78,6.85,9.0,1.1,7.81,5.38,711.3,284.06,1.12,443.28,10.03,66.82,47.07,0.0,1.12
4.05,5.19,9.14,9.0,1.16,6.51,4.17,449.15,85.55,0.8,182.39,11.04,65.25,53.08,0.0,-0.44
1.8,5.19,9.14,9.0,1.81,6.51,4.34,495.06,109.57,0.9,236.04,10.56,63.17,51.49,0.0,-0.08
2.7,4.26,9.14,9.0,1.1,6.51,4.79,486.64,115.07,0.88,221.92,10.97,64.8,53.16,0.0,-0.12
2.69,3.19,14.45,9.0,1.05,7.42,4.29,494.33,120.39,0.88,228.06,10.88,65.28,52.05,0.0,-0.21
2.32,2.7,11.84,9.0,1.02,6.51,4.69,537.36,151.0,0.96,272.61,10.74,64.87,51.94,0.0,0.06
