minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.5,2.9,7.5,9.0,1.0,4.0,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0.0,0.2
2.6,2.86,13.99,9.0,1.82,5.77,4.52,520.0,141.94,0.93,257.42,10.59,64.39,51.48,0.0,0.05
2.08,3.14,6.16,9.0,1.31,3.23,4.6,554.85,173.56,0.97,290.16,10.58,65.24,50.85,0.0,0.18
3.44,4.02,11.95,9.0,1.92,4.59,4.74,562.08,170.99,0.99,296.82,10.57,65.16,51.26,0.0,0.21
2.52,3.12,10.34,9.0,0.99,3.78,4.65,498.94,138.28,0.9,236.84,10.69,64.36,52.41,0.0,0.0
1.4,2.16,14.16,9.0,1.35,3.51,5.03,524.22,148.47,0.94,262.71,10.52,64.23,50.98,0.0,0.31
3.58,5.46,5.37,9.0,1.77,2.78,5.03,516.93,139.73,0.92,256.47,10.54,63.79,51.91,0.0,0.23
3.87,2.06,11.82,9.0,1.97,5.77,4.81,557.93,169.94,1.0,296.74,10.41,64.16,50.87,0.0,0.31
1.96,5.44,12.61,9.0,1.55,6.43,4.53,503.58,135.5,0.91,240.53,10.73,64.58,52.62,0.0,-0.08
3.92,3.72,8.3,9.0,1.58,7.0,4.8,473.03,113.91,0.88,213.23,10.7,63.6,53.19,0.0,-0.04
1.97,4.97,3.86,9.0,1.68,6.48,4.5,525.52,147.49,0.94,262.37,10.63,64.59,51.53,0.0,0.03
1.96,3.9,12.61,9.0,1.93,6.96,4.49,484.98,118.94,0.88,224.53,10.63,63.74,52.69,1.0,4.0
2.01,5.44,12.61,9.0,1.55,6.84,4.75,478.7,117.26,0.86,216.23,10.73,64.33,51.91,0.0,0.01
1.39,5.44,12.38,9.0,1.55,7.03,5.09,514.93,150.55,0.92,252.36,10.7,64.39,52.21,0.0,0.21
2.38,3.8,12.5,9.0,0.93,6.43,4.44,462.02,112.49,0.85,200.33,10.78,64.12,52.84,0.0,-0.19
1.86,5.54,12.61,9.0,1.87,5.22,4.62,513.96,142.17,0.92,251.24,10.66,64.37,51.95,0.0,0.04
1.96,5.44,4.04,9.0,1.55,6.43,4.38,489.84,126.03,0.88,228.17,10.71,64.02,52.75,0.0,-0.16
