minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,0.2
4.31,5.54,6.75,9.0,0.81,5.77,4.32,475.59,121.14,0.85,210.75,10.91,64.98,52.6,0.0,-0.24
4.91,1.86,10.56,9.0,0.97,7.7,4.9,585.19,205.84,1.04,322.85,10.47,64.57,51.04,0.0,0.39
4.77,3.5,10.84,9.0,0.78,3.69,4.54,533.12,165.74,0.94,265.49,10.75,65.74,51.63,0.0,0.05
4.89,1.74,3.99,9.0,0.87,4.23,4.71,555.66,174.2,0.95,292.34,10.31,64.76,50.34,7.0,4.0
2.02,2.29,12.8,9.0,1.4,6.09,4.86,623.89,208.19,1.06,355.87,10.43,66.39,49.14,0.0,0.51
4.27,2.35,9.25,9.0,1.89,5.76,4.59,563.89,162.24,0.98,303.87,10.28,63.83,49.84,0.0,0.31
2.9,5.31,7.68,9.0,1.14,7.76,4.61,552.96,174.2,1.01,289.54,10.73,64.55,52.06,0.0,0.07
2.53,3.17,8.4,9.0,1.14,3.85,4.5,524.98,146.65,0.93,262.5,10.59,64.31,51.1,0.0,0.07
3.89,3.49,6.45,9.0,1.88,4.82,4.7,556.05,155.03,1.01,297.13,10.35,63.37,51.12,0.0,0.24
2.68,3.4,14.26,9.0,0.72,5.98,4.26,464.81,114.87,0.85,202.24,10.89,64.37,52.58,8.0,4.0
3.21,3.13,7.6,9.0,1.88,4.82,4.51,499.4,114.99,0.91,241.03,10.41,63.15,51.75,1.0,4.0
3.89,5.16,6.45,9.0,0.91,4.82,4.38,487.79,129.31,0.87,223.28,10.81,64.89,52.08,0.0,-0.14
2.96,2.15,6.45,9.0,1.74,4.82,4.63,537.18,138.16,0.94,276.86,10.26,63.81,50.28,0.0,0.25
3.89,3.49,14.95,9.0,1.88,4.82,4.85,508.05,124.02,0.91,246.96,10.49,63.94,51.15,0.0,0.19
3.69,5.33,9.15,9.0,1.88,4.82,4.64,587.92,175.22,1.05,321.88,10.54,65.18,51.16,0.0,0.2
2.94,5.55,10.0,9.0,1.56,3.39,5.08,565.71,164.07,0.99,298.59,10.6,65.57,51.32,0.0,0.32
3.89,3.49,11.14,9.0,1.88,3.79,4.51,524.47,129.93,0.94,264.13,10.42,63.77,51.0,0.0,0.1
1.37,2.7,6.45,9.0,1.88,4.82,5.05,554.95,151.94,0.97,293.27,10.29,64.28,49.92,0.0,0.46
4.04,3.56,11.02,9.0,0.81,5.77,4.58,518.57,158.96,0.94,256.51,10.79,64.29,52.27,0.0,-0.0
1.43,5.54,6.75,9.0,0.82,5.77,4.95,482.92,125.62,0.88,218.45,10.93,64.81,53.21,10.0,4.0
4.73,3.01,6.75,9.0,0.81,5.77,4.46,509.81,151.57,0.92,248.74,10.68,64.08,52.0,0.0,-0.02
4.31,5.54,11.74,9.0,0.81,2.49,4.4,499.88,139.56,0.9,236.15,10.81,64.58,52.47,0.0,-0.13
3.62,5.02,6.55,9.0,0.81,5.77,4.45,506.57,144.26,0.9,240.7,10.94,65.28,52.9,0.0,-0.17
3.58,5.54,6.75,9.0,1.63,5.14,4.59,564.29,169.48,1.0,301.22,10.54,64.54,50.75,0.0,0.19
1.82,5.54,6.75,9.0,0.81,5.77,4.41,471.65,115.7,0.84,206.32,10.93,64.99,52.71,1.0,4.0
3.67,4.75,6.75,9.0,0.51,2.11,4.3,460.63,113.88,0.83,199.76,10.8,64.02,52.44,31.0,4.0
3.58,2.93,6.75,9.0,1.63,5.14,4.75,611.15,195.59,1.03,343.32,10.41,66.17,49.7,0.0,0.41
3.58,2.45,6.75,9.0,1.63,7.52,4.66,616.72,198.97,1.03,348.57,10.39,66.35,49.28,0.0,0.41
3.58,3.65,12.08,9.0,0.51,5.14,4.25,432.23,92.36,0.78,168.32,10.99,64.71,53.28,25.0,4.0
3.76,5.54,6.75,9.0,1.63,5.14,4.48,544.69,152.17,0.98,282.62,10.6,64.24,51.05,0.0,0.07
1.58,5.54,7.05,9.0,1.63,3.89,4.53,575.69,182.65,1.01,309.29,10.57,65.42,50.47,0.0,0.2
3.58,5.54,6.75,9.0,0.54,2.37,4.34,465.44,114.4,0.81,199.71,10.89,65.17,52.02,23.0,4.0
3.58,5.54,6.75,9.0,1.63,6.46,5.0,529.61,141.57,0.94,264.84,10.64,64.79,51.79,0.0,0.2
1.69,1.82,6.75,9.0,1.74,5.28,4.83,649.27,213.48,1.08,384.41,10.11,65.73,47.9,0.0,0.68
3.58,5.54,7.46,9.0,0.54,2.86,4.27,480.05,125.09,0.85,213.37,10.93,65.48,52.5,32.0,4.0
2.61,5.54,11.32,9.0,0.54,5.5,4.2,433.15,91.18,0.78,168.42,11.08,64.82,53.92,48.0,4.0
3.58,5.24,4.98,9.0,0.54,6.67,4.68,479.9,126.24,0.84,211.13,10.98,66.01,52.51,48.0,4.0
3.58,5.54,6.75,9.0,1.23,2.37,4.56,507.88,133.85,0.91,244.08,10.66,64.62,52.24,0.0,-0.02
3.58,5.54,4.77,9.0,0.54,2.37,4.36,508.15,150.83,0.91,243.75,10.78,65.01,52.08,38.0,4.0
3.58,1.53,10.18,9.0,1.61,5.05,5.53,820.1,362.77,1.27,545.91,9.98,68.31,46.5,0.0,1.39
2.91,1.96,12.85,9.0,1.48,3.96,5.13,581.64,181.01,1.01,319.04,10.28,64.51,49.72,0.0,0.57
4.8,2.11,6.75,9.0,1.98,4.55,4.55,578.82,170.28,0.98,319.15,10.1,63.77,48.76,0.0,0.43
3.58,4.05,7.46,9.0,1.24,2.86,4.6,527.0,147.87,0.95,264.53,10.59,64.29,51.89,0.0,0.06
4.02,5.54,7.46,9.0,0.82,2.86,4.45,546.54,177.23,0.98,280.87,10.76,65.16,51.85,0.0,0.02
3.58,3.78,12.22,9.0,1.62,5.77,4.52,535.93,149.51,0.95,274.06,10.56,64.16,51.33,0.0,0.08
4.31,5.54,6.86,9.0,0.76,2.86,4.42,461.1,111.05,0.84,199.09,10.85,64.25,52.76,0.0,-0.22
3.75,5.54,14.88,9.0,1.52,2.91,4.5,507.8,130.52,0.93,246.59,10.62,64.0,51.96,0.0,-0.02
4.78,5.54,14.95,9.0,0.54,5.28,4.43,464.06,119.61,0.83,199.03,11.04,65.03,52.7,23.0,4.0
2.3,5.54,10.22,9.0,0.81,6.33,4.39,479.89,120.43,0.85,211.51,10.95,65.97,52.27,0.0,-0.21
4.07,5.54,6.89,9.0,0.54,4.01,4.47,518.1,160.36,0.93,251.87,10.9,65.28,52.88,28.0,4.0
4.86,5.54,13.9,9.0,0.97,2.63,4.35,507.23,140.1,0.89,242.5,10.8,64.99,51.73,0.0,-0.1
4.31,5.54,14.95,9.0,0.81,5.69,4.5,531.7,165.27,0.96,264.13,10.93,65.54,52.63,0.0,-0.09
4.31,2.39,14.95,9.0,0.54,5.77,4.59,537.55,176.36,0.96,272.64,10.73,65.15,51.65,31.0,4.0
4.78,5.54,9.53,9.0,0.81,5.7,4.83,482.72,126.58,0.87,216.56,10.93,65.45,52.25,0.0,-0.02
4.71,3.0,10.74,9.0,1.0,5.28,4.32,494.71,132.03,0.86,231.59,10.72,64.58,51.33,0.0,-0.08
4.31,5.54,6.75,9.0,0.73,5.77,4.47,466.45,117.83,0.84,202.32,10.96,64.61,53.78,1.0,4.0
4.04,5.54,9.25,9.0,0.81,5.77,4.69,452.97,102.9,0.81,187.62,10.95,65.01,52.98,1.0,4.0
4.78,2.15,8.21,9.0,0.54,5.28,4.72,556.08,188.91,0.97,289.71,10.61,65.61,51.27,24.0,4.0
4.71,4.27,7.17,9.0,1.74,7.11,4.67,554.19,155.75,0.99,291.36,10.53,64.39,51.5,0.0,0.15
4.71,3.0,10.74,9.0,1.0,5.28,4.71,551.48,177.25,0.99,287.68,10.63,64.97,51.3,0.0,0.19
4.71,3.0,10.74,9.0,1.55,5.28,4.59,564.4,164.65,0.95,296.63,10.52,66.06,49.84,0.0,0.24
4.74,2.27,10.74,9.0,1.7,2.63,4.8,553.35,154.41,0.98,295.34,10.19,63.16,50.47,0.0,0.36
4.71,3.25,10.74,9.0,1.0,5.28,4.3,481.63,120.81,0.85,218.3,10.74,64.63,51.96,0.0,-0.16
1.57,3.12,10.74,9.0,0.88,4.28,4.3,453.42,99.6,0.81,190.98,10.78,64.35,52.21,0.0,-0.23
4.71,4.32,10.74,9.0,1.0,5.28,4.46,481.96,124.01,0.87,219.24,10.84,64.31,52.64,0.0,-0.16
4.71,2.59,11.11,9.0,1.0,3.03,4.93,503.77,139.71,0.91,244.1,10.5,63.59,51.91,0.0,0.2
4.39,3.41,4.35,9.0,1.0,5.77,4.71,591.6,203.97,1.03,324.26,10.6,65.88,50.6,0.0,0.3
4.43,3.9,8.4,9.0,0.81,5.28,4.32,485.46,130.44,0.87,221.65,10.81,64.68,52.63,0.0,-0.19
3.44,5.54,6.75,9.0,0.81,5.77,4.68,471.15,115.67,0.84,203.78,10.94,65.44,53.01,0.0,-0.15
4.23,3.68,5.11,9.0,0.81,5.15,4.4,505.62,146.03,0.9,244.03,10.76,64.2,52.23,0.0,-0.09
2.33,3.7,10.31,9.0,1.0,5.28,4.51,483.78,123.21,0.88,221.93,10.79,64.19,52.52,0.0,-0.12
