minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,iterations
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,1
3.76,4.68,9.5,9.0,0.81,2.94,4.45,503.23,137.16,0.9,236.29,10.91,65.21,53.05,0.0,0
2.45,5.04,10.07,9.0,1.25,7.62,4.38,524.72,130.53,0.93,255.97,10.94,65.78,53.1,0.0,18
2.21,4.66,10.07,9.0,0.88,5.49,4.38,499.95,131.88,0.91,232.72,11.08,65.32,53.31,0.0,24
2.21,5.01,10.07,9.0,0.88,4.66,4.23,477.93,113.52,0.87,210.04,11.12,65.47,53.52,0.0,29
2.21,4.85,10.07,9.0,0.88,4.66,4.38,454.56,96.51,0.83,187.44,11.14,65.22,53.7,0.0,38
2.21,5.18,10.07,9.0,0.88,4.66,4.19,463.04,104.49,0.85,196.79,11.16,65.09,53.83,0.0,65
2.21,5.75,14.05,9.0,0.88,4.66,4.43,494.43,127.01,0.87,223.68,11.2,66.46,52.95,0.0,119
2.82,5.59,14.05,9.0,0.88,5.74,4.3,463.13,103.38,0.82,192.85,11.21,66.17,53.36,0.0,135
2.82,5.59,12.83,9.0,0.88,7.55,4.38,472.39,111.94,0.85,203.02,11.23,65.89,53.44,0.0,177
1.9,5.59,13.96,9.0,0.88,7.55,4.34,481.33,118.55,0.86,211.28,11.26,66.17,52.95,0.0,611
2.48,5.59,13.67,9.0,0.88,6.3,4.16,440.86,86.74,0.79,172.39,11.27,65.63,53.63,0.0,1130
2.48,5.59,13.67,9.0,0.88,7.84,4.33,441.91,90.94,0.81,174.95,11.28,65.2,54.14,0.0,1352
1.36,5.66,13.5,9.0,0.88,7.38,4.4,466.74,110.24,0.88,199.43,11.29,65.35,54.67,0.0,2451
1.37,5.76,13.5,9.0,0.89,7.38,4.2,446.46,94.19,0.82,178.52,11.3,65.52,54.43,0.0,3653
