minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness,iterations
2.5,2.9,7.5,9.0,1.0,4.0,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0.0,0.2,0
2.6,2.86,13.99,9.0,1.82,5.77,4.52,520.0,141.94,0.93,257.42,10.59,64.39,51.48,0.0,0.05,1
2.52,3.12,10.34,9.0,0.99,3.78,4.65,498.94,138.28,0.9,236.84,10.69,64.36,52.41,0.0,0.0,4
1.96,5.44,12.61,9.0,1.55,6.43,4.53,503.58,135.5,0.91,240.53,10.73,64.58,52.62,0.0,-0.08,8
2.38,3.8,12.5,9.0,0.93,6.43,4.44,462.02,112.49,0.85,200.33,10.78,64.12,52.84,0.0,-0.19,14
4.86,4.79,7.25,9.0,1.08,5.2,4.41,463.84,111.16,0.83,201.81,10.8,64.16,52.88,0.0,-0.21,31
2.75,5.25,10.25,9.0,0.93,7.82,4.34,470.7,113.13,0.83,203.6,10.89,65.54,52.51,0.0,-0.24,34
2.75,5.25,11.15,9.0,0.93,7.82,4.34,461.27,111.39,0.84,198.96,10.83,64.22,53.23,0.0,-0.27,98
4.24,5.25,10.0,9.0,1.06,7.54,4.3,454.23,104.23,0.83,191.38,10.83,64.36,53.18,0.0,-0.3,132
1.75,5.25,10.0,9.0,0.9,7.9,4.25,450.17,101.78,0.81,188.16,10.86,64.23,52.83,0.0,-0.31,815
1.75,5.7,13.64,9.0,1.1,5.65,4.29,454.27,102.67,0.83,190.18,10.88,64.62,53.43,0.0,-0.33,1650
1.75,5.31,13.64,9.0,1.1,2.6,4.2,438.33,90.94,0.78,176.65,10.79,64.11,53.06,0.0,-0.34,1967
