minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.5,2.9,7.5,9,1,4,4.83,533.73,145.65,0.93,269.49,10.56,64.74,51.12,0,0.2
3.37,1.53,7.0,9.0,1.96,6.99,5.27,723.54,272.02,1.18,459.24,9.95,65.59,48.18,1.0,4.0
1.27,2.12,8.22,9.0,1.44,7.76,4.7,583.78,182.42,1.03,320.68,10.38,64.81,50.01,0.0,0.35
4.83,5.1,5.92,9.0,1.68,4.48,4.61,591.78,177.04,1.01,324.22,10.49,65.8,50.59,0.0,0.24
2.88,3.6,9.58,9.0,1.94,6.18,4.61,586.2,169.88,1.01,320.14,10.42,65.48,50.09,0.0,0.28
3.05,1.72,9.29,9.0,1.99,3.99,4.84,604.62,178.25,1.04,344.53,9.98,64.19,48.28,0.0,0.63
4.2,4.4,8.94,9.0,1.81,7.85,4.61,587.85,177.28,1.02,321.83,10.55,65.48,50.51,0.0,0.23
2.48,3.39,3.87,9.0,1.93,3.28,4.52,527.36,129.13,0.95,270.6,10.22,62.84,50.48,0.0,0.19
4.04,5.37,10.8,9.0,1.31,3.84,4.54,511.68,140.38,0.9,249.71,10.7,64.34,51.57,0.0,0.01
1.55,4.92,5.37,9.0,1.0,6.53,4.3,482.34,120.72,0.87,218.97,10.85,64.56,52.49,0.0,-0.23
2.54,3.47,4.41,9.0,1.28,4.53,4.65,569.54,173.32,1.01,305.44,10.49,64.94,50.41,0.0,0.26
1.55,4.92,5.37,9.0,1.0,6.53,4.3,453.55,100.4,0.81,191.03,10.83,64.42,52.08,0.0,-0.24
1.99,2.0,7.0,9.0,1.0,3.59,4.72,525.98,149.62,0.95,266.75,10.39,63.54,51.28,0.0,0.21
1.55,4.05,10.7,9.0,1.87,6.53,4.46,499.02,119.67,0.91,238.96,10.59,63.64,52.03,0.0,-0.06
3.4,4.92,5.37,9.0,1.26,2.31,4.55,528.33,146.59,0.96,267.58,10.53,63.93,51.56,0.0,0.08
2.18,3.83,14.01,9.0,1.86,5.51,4.83,583.52,175.09,1.05,320.98,10.49,64.38,50.89,0.0,0.3
1.55,4.92,10.29,9.0,1.76,6.53,5.16,542.45,159.85,0.98,279.7,10.6,64.37,51.92,0.0,0.3
1.55,4.92,5.37,9.0,1.24,6.53,4.44,525.42,148.38,0.95,262.28,10.73,64.54,51.94,0.0,-0.04
1.55,5.09,14.79,9.0,1.0,6.53,5.02,471.02,115.59,0.85,206.77,10.94,64.75,52.93,0.0,-0.01
1.55,4.92,8.1,9.0,1.0,6.53,4.49,493.9,128.98,0.87,226.74,10.91,65.71,51.99,0.0,-0.12
1.51,5.57,6.98,9.0,1.0,6.53,4.21,449.37,98.45,0.82,186.05,10.91,64.4,53.43,0.0,-0.38
3.8,4.74,13.36,9.0,1.24,6.53,4.91,497.47,128.21,0.89,233.14,10.82,64.86,52.32,0.0,0.05
1.55,3.77,5.37,9.0,1.85,6.53,4.46,515.31,126.97,0.92,255.74,10.51,63.58,51.55,0.0,0.01
1.59,4.95,3.99,9.0,1.79,6.53,4.43,511.81,133.17,0.91,251.94,10.53,63.57,51.66,0.0,-0.0
1.55,5.18,13.74,9.0,1.24,6.53,4.29,487.55,123.97,0.88,223.99,10.85,64.62,52.34,0.0,-0.21
1.55,4.92,5.37,9.0,1.0,6.53,4.81,481.15,118.66,0.87,216.52,10.84,64.85,52.5,0.0,-0.03
1.55,4.92,5.37,9.0,1.12,6.53,4.52,500.26,134.97,0.91,238.29,10.78,64.18,52.54,0.0,-0.09
1.51,5.57,10.07,9.0,1.0,3.62,4.28,473.52,112.83,0.84,208.29,10.87,64.94,52.14,0.0,-0.23
1.51,5.61,13.51,9.0,1.0,2.31,4.59,509.27,142.08,0.92,246.24,10.78,64.39,52.83,0.0,-0.07
1.51,5.57,13.17,9.0,1.0,6.53,4.35,470.67,111.84,0.83,203.82,10.94,65.42,52.33,0.0,-0.24
1.51,1.79,6.98,9.0,1.0,7.27,5.04,541.03,157.9,0.94,277.4,10.41,65.03,50.04,0.0,0.42
1.55,1.55,13.54,9.0,1.85,5.65,4.85,620.39,192.53,1.04,354.95,10.07,65.77,48.11,0.0,0.64
1.55,5.29,5.15,9.0,1.85,6.53,4.51,525.17,145.24,0.94,264.2,10.51,63.96,51.11,0.0,0.1
3.24,2.58,6.43,9.0,1.15,6.53,4.47,483.85,118.35,0.88,223.7,10.6,63.8,52.28,0.0,-0.07
1.51,4.58,14.87,9.0,1.76,4.65,4.61,580.0,180.2,1.0,311.85,10.54,65.96,50.14,0.0,0.26
1.55,1.99,10.82,9.0,1.85,3.13,5.11,524.91,130.53,0.95,267.98,10.19,62.71,51.09,0.0,0.4
3.76,3.77,4.67,9.0,1.79,2.77,4.56,550.3,149.27,0.98,292.27,10.25,63.2,49.88,0.0,0.28
1.51,2.32,12.05,9.0,1.39,6.53,4.79,575.83,174.0,1.01,309.95,10.48,65.49,50.3,0.0,0.32
1.51,5.57,6.98,9.0,1.83,6.53,4.5,554.67,167.81,0.99,290.53,10.54,64.74,50.39,0.0,0.17
2.51,3.77,12.64,9.0,1.42,6.44,4.42,521.43,138.53,0.93,257.33,10.67,64.83,51.54,0.0,-0.03
4.16,3.92,5.37,9.0,1.96,7.18,5.05,552.64,150.61,0.98,293.0,10.37,63.61,50.87,0.0,0.38
1.55,3.87,14.42,9.0,1.85,4.49,4.63,544.78,151.4,0.98,284.37,10.46,63.84,50.99,0.0,0.18
1.51,3.77,5.37,9.0,1.0,3.34,4.35,492.69,124.84,0.88,229.6,10.67,64.45,51.94,0.0,-0.11
1.51,5.57,13.41,9.0,1.55,5.82,4.49,515.08,145.4,0.93,252.93,10.74,64.22,51.9,0.0,-0.03
1.51,4.48,6.98,9.0,1.0,7.45,4.45,497.25,129.86,0.86,230.26,10.84,65.69,51.52,0.0,-0.09
1.51,5.57,6.98,9.0,0.99,7.9,4.6,512.29,146.5,0.94,248.75,10.9,64.59,53.3,0.0,-0.12
3.64,5.57,6.98,9.0,1.0,6.53,4.29,463.59,108.51,0.84,199.8,10.92,64.49,53.53,0.0,-0.34
1.51,3.92,14.16,9.0,1.0,6.53,4.55,494.02,131.3,0.88,229.68,10.87,64.83,52.3,0.0,-0.1
1.51,4.59,14.78,9.0,0.9,6.53,4.38,454.13,103.18,0.84,191.14,10.96,64.46,53.33,0.0,-0.32
1.51,5.57,10.91,9.0,1.0,6.53,4.51,530.92,160.2,0.96,264.83,10.89,65.21,52.6,0.0,-0.08
