minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.54,3.08,8.85,9.0,1.04,5.36,4.69,595.37,200.16,1.03,326.69,10.6,65.97,51.05,0.0
2.32,3.29,11.37,9.0,1.26,2.38,4.28,486.89,100.52,0.85,226.21,10.43,63.79,50.68,0.0
3.15,4.5,14.01,9.0,0.92,4.26,4.34,494.73,129.54,0.9,229.14,11.01,64.94,53.61,0.0
1.63,2.0,12.23,9.0,1.78,4.67,4.77,675.02,200.65,1.06,408.53,9.85,66.2,46.3,0.0
3.35,4.02,8.68,9.0,1.24,6.41,4.89,572.81,168.6,1.0,303.71,10.7,66.34,51.1,0.0
4.12,2.22,7.9,9.0,1.92,4.97,4.8,655.96,192.55,1.03,395.48,9.81,64.25,47.5,0.0
4.36,5.23,6.1,9.0,1.59,3.99,4.68,571.5,146.57,0.97,305.71,10.39,65.33,50.23,0.0
2.93,2.4,10.72,9.0,0.96,2.15,4.45,515.41,131.38,0.91,258.17,10.17,62.89,50.55,0.0
2.28,5.23,5.65,9.0,1.13,3.43,4.37,507.76,120.66,0.91,241.93,10.78,64.97,52.32,0.0
3.06,5.22,12.93,9.0,1.0,6.87,4.31,508.21,136.22,0.91,240.45,11.09,65.48,53.27,0.0
4.89,3.29,11.37,9.0,1.23,2.28,4.62,583.55,173.78,1.02,319.88,10.29,64.64,50.1,0.0
2.32,3.29,12.43,9.0,0.58,7.86,4.19,426.32,82.31,0.78,159.11,11.17,65.27,54.17,69.0
1.85,5.28,11.37,9.0,0.67,7.28,4.23,431.76,83.73,0.79,162.41,11.34,65.87,54.17,60.0
4.46,3.29,11.37,9.0,1.15,2.38,4.6,597.51,186.02,1.0,330.43,10.34,65.87,49.7,0.0
2.82,3.29,11.37,9.0,1.26,3.9,4.49,504.1,119.37,0.9,243.18,10.59,63.89,51.5,0.0
2.32,2.25,11.37,9.0,1.26,3.18,4.79,572.57,160.19,1.0,314.75,10.12,63.11,49.63,0.0
4.89,4.5,4.25,9.0,1.61,4.26,4.34,515.93,113.81,0.93,258.26,10.32,62.91,51.16,0.0
3.15,3.29,14.01,9.0,1.23,2.31,4.87,664.04,235.6,1.15,398.49,10.25,65.43,49.56,0.0
3.15,4.34,11.37,9.0,0.92,2.47,4.6,460.48,97.31,0.83,195.32,10.85,64.86,52.71,0.0
4.89,4.5,14.01,9.0,1.23,4.26,5.48,750.8,312.48,1.22,475.26,10.51,68.43,49.45,0.0
3.15,4.48,11.37,9.0,1.13,6.01,4.37,518.65,133.91,0.91,248.19,10.94,66.65,52.27,0.0
4.89,4.14,12.42,9.0,1.02,2.28,4.76,668.11,251.7,1.1,396.28,10.5,67.51,49.16,0.0
3.09,5.08,9.85,9.0,0.92,2.64,4.22,495.52,124.74,0.88,229.21,10.9,65.13,52.62,0.0
3.15,4.5,11.37,9.0,0.92,3.18,4.72,488.42,121.71,0.88,222.7,10.89,64.94,52.63,0.0
