minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.76,4.68,9.5,9.0,0.81,2.94,4.45,503.23,137.16,0.9,236.29,10.91,65.21,53.05,0.0
1.38,4.57,11.28,9.0,1.59,7.51,4.31,482.95,108.03,0.88,222.99,10.72,63.6,51.94,0.0
3.64,5.77,9.29,9.0,0.55,7.22,4.07,429.61,89.34,0.78,160.19,11.4,65.88,54.2,88.0
1.95,3.33,7.15,9.0,1.73,6.95,4.32,514.97,109.04,0.9,254.31,10.34,63.86,49.98,0.0
2.39,4.77,10.71,9.0,1.57,7.79,4.54,570.99,151.52,1.03,305.72,10.63,64.95,51.11,0.0
1.54,2.74,3.77,9.0,0.69,4.67,4.21,468.56,105.23,0.84,208.27,10.62,63.66,51.81,45.0
2.88,4.37,6.49,9.0,1.03,3.06,4.24,488.0,111.41,0.86,222.63,10.75,64.91,51.98,0.0
2.21,3.22,10.07,9.0,1.22,5.49,4.28,502.66,118.98,0.91,241.25,10.7,63.99,51.45,0.0
1.95,1.86,3.99,9.0,0.57,6.69,4.25,449.44,93.45,0.81,194.4,10.36,62.47,51.37,45.0
3.24,2.1,13.55,9.0,0.78,5.78,4.75,526.11,159.23,0.95,265.6,10.55,63.83,52.01,2.0
2.21,3.22,10.07,9.0,1.4,5.49,4.41,501.93,112.83,0.91,241.9,10.56,63.67,51.34,0.0
1.51,4.99,8.5,9.0,1.72,6.85,4.27,514.79,126.42,0.93,255.12,10.6,63.34,51.68,0.0
2.21,3.38,10.07,9.0,1.22,6.72,4.52,540.54,141.09,0.93,272.29,10.71,66.22,50.67,0.0
4.09,5.45,7.78,9.0,1.22,5.49,4.52,556.12,158.33,0.99,287.29,10.83,65.77,52.61,0.0
1.56,1.88,4.29,9.0,1.22,7.65,4.66,594.88,172.0,1.01,334.33,10.01,64.12,48.16,0.0
2.21,3.39,10.07,9.0,1.3,5.49,4.32,474.7,99.44,0.87,214.55,10.69,63.64,52.1,0.0
3.17,3.22,8.27,9.0,0.52,5.49,4.33,443.19,99.99,0.81,178.68,11.0,64.64,53.14,86.0
2.21,1.87,10.07,9.0,1.81,5.49,5.08,702.93,219.79,1.13,439.55,9.75,65.46,46.28,0.0
2.45,5.04,10.07,9.0,1.25,7.62,4.38,524.72,130.53,0.93,255.97,10.94,65.78,53.1,0.0
3.09,4.72,5.56,9.0,1.06,5.08,4.19,496.72,119.18,0.88,229.59,10.91,65.4,52.58,0.0
4.14,5.03,10.07,9.0,1.22,5.49,4.64,502.01,120.3,0.9,236.06,10.89,65.06,52.99,0.0
4.1,3.22,10.07,9.0,1.32,5.49,4.9,660.55,231.58,1.11,391.34,10.51,66.45,50.46,0.0
1.64,1.87,11.13,9.0,1.81,5.49,4.7,625.06,169.53,1.03,364.2,9.79,64.79,46.46,0.0
2.88,2.3,7.8,9.0,1.22,5.49,4.58,570.91,162.35,0.99,308.33,10.31,64.69,49.76,0.0
2.21,4.66,10.07,9.0,0.88,5.49,4.38,499.95,131.88,0.91,232.72,11.08,65.32,53.31,0.0
2.21,5.65,9.44,9.0,1.42,5.49,4.48,520.97,122.92,0.93,256.28,10.78,64.79,51.91,0.0
1.95,1.87,10.07,9.0,1.81,5.49,4.67,585.22,145.35,0.99,326.61,9.83,63.74,47.59,0.0
2.21,1.87,5.07,9.0,1.81,5.49,5.01,772.72,263.65,1.19,506.74,9.54,66.14,44.52,0.0
2.21,4.97,9.44,9.0,0.82,5.49,4.28,505.05,136.49,0.9,234.67,11.14,66.14,53.27,9.0
2.21,5.01,10.07,9.0,0.88,4.66,4.23,477.93,113.52,0.87,210.04,11.12,65.47,53.52,0.0
2.21,4.66,10.07,9.0,0.79,5.49,4.35,478.93,117.72,0.86,210.43,11.12,65.88,52.74,15.0
2.7,5.15,9.44,9.0,0.88,6.5,4.29,513.8,144.14,0.92,245.51,11.11,65.64,53.14,0.0
2.21,4.66,10.07,9.0,0.88,3.7,4.29,468.62,104.83,0.86,201.53,11.08,65.3,53.82,0.0
2.21,3.66,4.08,9.0,1.62,5.55,4.2,489.26,92.54,0.89,232.92,10.33,62.45,51.08,0.0
2.21,5.15,9.44,9.0,0.88,4.66,4.42,517.16,147.81,0.93,250.85,11.04,65.09,53.16,1.0
