minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.04,4.6,5.57,9.0,1.53,5.42,4.95,521.33,121.46,0.94,260.89,10.54,63.55,51.69,0.0
4.98,2.58,10.41,9.0,1.04,4.93,5.27,572.35,212.84,1.18,328.12,10.37,59.29,55.01,0.0
2.52,4.41,11.56,9.0,1.56,7.06,4.49,554.4,137.18,1.01,289.81,10.66,64.71,51.64,0.0
4.11,3.68,12.78,9.0,1.24,2.25,4.77,638.62,209.7,1.05,369.32,10.34,66.69,49.1,0.0
2.74,5.42,3.87,9.0,0.62,3.96,4.17,446.39,91.58,0.81,178.81,11.08,65.39,53.31,39.0
3.1,4.34,12.81,9.0,0.76,2.21,4.57,475.49,113.63,0.85,209.31,10.87,65.01,52.61,0.0
1.82,2.59,4.59,9.0,1.36,6.52,4.38,528.4,128.17,0.96,273.53,10.25,62.31,50.36,0.0
3.05,2.34,8.96,9.0,1.96,4.59,4.81,617.22,166.08,1.03,359.65,9.82,63.2,48.08,0.0
1.53,4.88,11.46,9.0,1.29,2.2,4.5,577.08,162.71,0.99,307.79,10.55,66.38,50.2,0.0
2.74,4.36,5.57,9.0,1.71,7.02,4.04,470.53,83.38,0.85,213.31,10.5,62.75,51.59,0.0
1.85,1.83,12.94,9.0,0.68,6.35,4.81,513.61,145.73,0.92,253.93,10.43,63.67,51.03,39.0
2.54,5.37,10.54,9.0,1.18,4.7,4.18,472.97,100.56,0.87,208.31,10.96,64.69,53.49,0.0
1.59,2.28,9.77,9.0,1.76,2.58,4.67,521.35,106.51,0.94,271.04,9.77,60.73,49.57,0.0
4.93,3.47,7.2,9.0,1.52,6.11,4.79,676.37,229.5,1.11,406.78,10.31,66.96,48.92,0.0
4.16,5.13,5.57,9.0,1.08,5.71,4.14,487.87,109.14,0.83,217.48,10.94,66.41,51.96,0.0
2.64,2.59,5.21,9.0,1.71,6.52,4.47,533.66,117.88,0.93,275.59,10.08,63.25,49.12,0.0
1.84,2.59,12.62,9.0,1.73,7.02,4.76,599.39,162.0,1.04,336.99,10.21,64.63,48.87,0.0
1.82,4.36,4.97,9.0,1.45,6.52,4.32,476.29,96.43,0.88,217.59,10.6,63.18,52.14,0.0
1.82,3.23,5.35,9.0,1.88,6.64,4.51,549.7,126.6,0.97,293.17,10.13,62.51,49.66,0.0
1.63,2.04,10.15,9.0,1.66,6.52,4.77,639.02,186.25,1.06,377.2,10.0,64.99,47.5,0.0
3.84,2.59,8.28,9.0,1.58,6.52,4.68,579.25,159.76,0.97,320.55,10.23,63.48,49.71,0.0
1.82,2.59,4.59,9.0,1.67,6.52,4.51,528.51,116.15,0.94,274.75,10.08,61.85,49.88,0.0
3.85,4.36,6.21,9.0,1.45,5.73,4.51,545.14,140.26,0.99,284.87,10.59,63.61,52.39,0.0
4.06,2.77,13.09,9.0,1.8,7.52,4.93,725.79,250.71,1.14,454.36,10.18,67.41,47.95,0.0
1.82,4.36,4.97,9.0,0.54,3.15,4.6,429.0,79.51,0.76,164.55,11.0,64.64,53.37,70.0
