minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.75,2.39,11.1,9.0,1.35,6.64,4.89,625.62,221.04,1.05,359.64,10.45,65.83,49.56,0.0
4.64,3.66,10.79,9.0,1.81,3.27,4.92,511.49,124.98,0.93,252.36,10.42,63.45,51.68,0.0
4.53,4.64,4.97,9.0,0.73,4.53,4.33,473.52,120.46,0.84,209.57,10.84,64.77,52.34,0.0
2.47,4.77,10.68,9.0,1.28,3.77,4.47,452.03,94.44,0.83,191.57,10.78,63.67,53.07,0.0
3.39,2.5,12.56,9.0,1.9,2.23,4.76,581.21,165.84,0.99,319.34,10.12,64.32,49.23,0.0
3.7,3.0,11.66,9.0,1.99,2.61,4.8,587.93,174.61,1.04,326.68,10.21,64.04,49.95,0.0
1.91,2.44,4.99,9.0,1.13,5.39,4.39,486.49,116.7,0.88,226.56,10.58,63.71,52.16,0.0
4.27,5.3,12.12,9.0,0.55,4.67,4.75,454.84,109.01,0.81,188.34,11.01,65.48,52.61,20.0
3.55,4.24,5.43,9.0,1.46,6.33,4.43,507.43,128.84,0.9,245.04,10.64,64.28,51.9,0.0
4.35,2.66,4.01,9.0,1.64,5.42,4.44,492.15,114.81,0.89,235.69,10.37,62.76,51.6,0.0
2.64,5.46,5.97,9.0,1.6,7.76,4.88,551.61,157.92,0.98,286.67,10.59,64.98,51.01,0.0
3.69,5.2,12.21,9.0,1.41,7.03,4.54,513.72,137.51,0.92,250.5,10.78,64.52,52.14,0.0
1.92,3.69,4.08,9.0,1.48,6.96,4.39,508.02,127.6,0.91,247.98,10.57,63.71,51.71,0.0
2.23,5.39,13.6,9.0,1.95,5.49,4.9,537.19,144.73,0.97,274.39,10.52,64.38,51.49,0.0
2.05,4.36,4.85,9.0,0.6,6.87,4.3,434.43,91.23,0.79,172.32,10.95,64.12,53.36,38.0
3.09,2.53,14.66,9.0,0.6,5.33,4.29,473.41,121.69,0.83,209.54,10.75,64.75,51.44,29.0
3.38,3.68,7.1,9.0,1.56,5.44,4.32,499.78,119.56,0.87,235.45,10.62,64.77,51.41,0.0
4.01,3.35,13.8,9.0,1.14,3.43,4.96,501.76,131.87,0.9,239.52,10.66,64.28,52.44,0.0
3.92,1.48,6.0,9.0,1.3,5.66,4.75,587.53,190.64,1.03,327.43,10.15,64.0,49.87,0.0
3.78,4.45,8.95,9.0,1.21,7.17,5.02,668.24,262.29,1.14,395.59,10.64,67.52,50.5,0.0
3.37,3.73,12.7,9.0,1.66,5.79,4.76,558.28,162.84,1.01,295.65,10.54,64.35,51.62,0.0
