minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.64,2.69,12.91,9.0,1.31,4.61,4.74,563.97,158.04,1.02,301.79,10.45,64.22,50.95,0.0
2.66,3.19,12.28,9.0,0.62,3.03,4.27,450.67,100.94,0.82,187.99,10.86,64.23,53.54,46.0
1.75,3.51,4.34,9.0,0.68,7.03,4.58,449.24,94.26,0.81,184.89,10.98,64.59,52.93,53.0
2.03,2.1,14.05,9.0,1.19,3.78,4.84,613.36,194.63,1.05,349.24,10.2,65.2,48.8,0.0
3.18,3.41,13.1,9.0,0.86,3.57,4.53,482.48,121.08,0.89,220.41,10.81,64.06,53.22,0.0
4.95,3.14,5.98,9.0,1.83,5.9,4.58,617.8,171.15,1.02,355.11,10.06,64.72,48.66,0.0
2.32,4.17,11.0,9.0,1.55,6.29,4.38,550.36,134.76,0.97,284.4,10.61,65.25,50.97,0.0
4.22,5.17,8.32,9.0,0.71,4.12,4.29,484.85,128.87,0.87,216.33,11.07,65.58,53.17,12.0
1.8,1.74,9.34,9.0,1.59,4.97,5.35,793.05,298.33,1.21,523.76,9.74,67.15,44.95,0.0
3.17,5.45,10.44,9.0,1.21,6.19,4.26,463.16,95.16,0.85,197.83,11.02,64.88,53.5,0.0
1.61,4.25,4.59,9.0,1.48,7.76,4.21,481.69,95.3,0.86,221.49,10.6,63.55,51.38,0.0
4.03,3.8,13.76,9.0,0.6,6.54,4.28,463.88,119.15,0.83,196.07,11.19,65.44,53.41,44.0
2.52,5.16,10.55,9.0,1.83,5.09,4.29,516.26,104.34,0.93,256.07,10.49,63.44,51.46,0.0
2.16,5.43,13.0,9.0,0.8,7.35,4.37,491.83,130.71,0.89,222.61,11.21,65.92,53.48,15.0
4.68,4.98,6.3,9.0,1.39,4.88,4.75,557.84,153.99,0.98,293.27,10.58,64.69,51.52,0.0
3.06,1.72,5.41,9.0,1.29,6.32,5.13,758.58,297.0,1.14,488.86,9.79,67.07,45.87,0.0
3.15,2.29,5.33,9.0,0.96,7.39,5.0,689.04,279.02,1.15,421.85,10.25,66.3,48.64,0.0
1.47,5.71,12.93,9.0,1.3,7.39,4.36,492.59,120.88,0.87,222.55,11.04,66.23,52.28,0.0
3.62,1.62,14.29,9.0,1.81,7.32,5.88,1561.61,924.13,1.47,1252.14,9.22,80.85,36.57,0.0
3.01,5.48,9.16,9.0,1.89,2.21,4.57,598.77,151.97,1.03,337.77,10.08,63.95,48.98,0.0
3.55,2.82,11.88,9.0,0.57,5.38,4.36,466.6,121.4,0.86,204.86,10.88,64.02,53.05,62.0
4.8,2.29,11.45,9.0,1.15,5.87,4.96,682.76,265.59,1.09,413.64,10.31,66.82,48.85,0.0
2.36,5.73,6.32,9.0,0.94,4.72,4.4,537.36,158.67,0.97,269.1,10.98,65.63,52.63,0.0
3.02,4.32,4.11,9.0,1.06,6.94,4.55,612.71,213.02,1.08,343.92,10.68,66.62,50.82,0.0
3.68,2.47,5.05,9.0,1.67,3.77,4.81,595.47,160.18,1.01,341.33,9.86,62.12,49.08,0.0
4.65,5.25,9.87,9.0,1.54,5.46,4.38,502.46,111.79,0.91,241.16,10.67,63.84,52.6,0.0
1.48,3.55,7.41,9.0,0.52,5.81,4.19,418.37,75.47,0.75,154.2,11.12,64.5,53.38,111.0
4.18,3.6,13.71,9.0,1.7,5.51,4.66,603.06,163.69,1.0,335.82,10.42,65.79,49.84,0.0
2.35,3.76,11.69,9.0,1.66,7.08,4.57,560.75,137.7,0.98,295.35,10.53,64.95,51.24,0.0
3.66,3.3,12.91,9.0,1.88,6.97,4.75,590.08,151.71,1.01,328.53,10.3,64.11,50.25,0.0
1.26,4.11,8.98,9.0,0.63,6.29,4.15,432.12,83.45,0.78,164.98,11.23,65.26,53.87,85.0
4.0,1.81,7.93,9.0,1.88,2.03,5.22,787.75,272.73,1.15,525.48,9.1,64.84,44.05,0.0
1.98,5.38,12.33,9.0,0.61,2.94,4.28,427.05,78.38,0.76,158.86,11.25,65.45,53.7,47.0
3.71,5.63,12.27,9.0,0.87,6.64,4.63,474.53,115.19,0.86,205.72,11.18,65.67,53.64,0.0
3.7,3.42,12.39,9.0,1.3,6.69,4.6,593.25,181.86,0.99,324.71,10.64,66.44,50.28,0.0
4.66,1.74,10.41,9.0,1.75,2.46,5.32,781.06,272.14,1.14,518.42,9.34,64.98,45.08,0.0
2.01,5.43,12.1,9.0,2.0,7.85,4.51,517.42,122.34,0.95,259.28,10.49,62.91,51.83,0.0
3.44,5.01,11.97,9.0,0.57,3.73,4.18,440.53,95.91,0.78,171.64,11.23,65.73,53.23,41.0
3.72,1.5,10.96,9.0,0.99,4.23,5.13,785.17,341.02,1.07,507.07,9.84,69.54,44.49,0.0
