delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.33,475.76,114.6,0.84,212.14,10.63,64.62,51.84,0
2.12245,4.62,542.05,166.03,0.96,278.77,10.57,64.55,50.95,0
2.2449,4.85,498.72,134.67,0.91,238.11,10.61,63.85,52.39,0
2.36735,4.77,561.6,182.62,1.01,298.27,10.58,64.79,51.18,0
2.4898,4.52,572.15,186.91,0.97,302.79,10.57,66.58,49.69,0
2.61224,4.53,472.95,115.41,0.85,210.5,10.68,64.27,52.99,0
2.73469,4.59,490.39,129.45,0.89,229.98,10.64,63.75,52.73,0
2.85714,4.54,493.14,128.81,0.88,229.81,10.66,64.57,51.65,0
2.97959,4.7,508.33,143.11,0.93,246.62,10.65,64.16,52.2,0
3.10204,4.72,550.0,172.86,1.0,286.39,10.59,64.93,51.12,0
3.22449,4.6,495.63,131.9,0.9,232.83,10.65,64.4,52.28,0
3.34694,4.54,468.64,113.57,0.86,208.11,10.68,63.86,52.83,0
3.46939,4.65,525.89,154.55,0.94,261.8,10.64,64.88,51.64,0
3.59184,4.75,556.18,180.61,1.01,293.21,10.6,64.5,51.81,0
3.71429,4.55,495.04,133.48,0.88,233.0,10.65,64.24,51.69,0
3.83673,4.66,509.21,142.28,0.9,244.51,10.67,65.07,52.02,0
3.95918,4.62,496.77,134.79,0.9,235.15,10.66,64.18,52.16,0
4.08163,4.42,458.54,104.91,0.82,196.77,10.71,64.3,51.93,0
4.20408,4.66,529.88,162.23,0.95,267.91,10.62,64.24,52.16,0
4.32653,4.92,483.66,125.7,0.9,223.21,10.67,63.8,53.06,0
4.44898,4.31,456.41,103.64,0.82,194.03,10.75,64.27,52.73,0
4.57143,4.48,454.92,101.74,0.83,193.39,10.67,64.11,52.57,0
4.69388,4.5,468.53,115.17,0.85,207.84,10.71,63.85,52.42,0
4.81633,4.61,528.03,157.56,0.96,264.51,10.63,64.72,51.87,0
4.93878,4.45,508.29,141.75,0.91,245.27,10.68,64.47,52.21,0
5.06122,4.54,475.55,119.94,0.86,213.81,10.68,64.13,52.49,0
5.18367,4.41,471.58,116.15,0.85,211.3,10.69,63.96,52.15,0
5.30612,4.67,544.51,166.68,0.96,278.24,10.67,65.61,51.29,0
5.42857,4.53,544.08,169.9,0.97,279.9,10.64,65.0,51.34,0
5.55102,4.44,470.51,114.31,0.83,207.3,10.71,64.62,51.8,0
5.67347,4.22,458.59,103.09,0.81,194.01,10.76,65.05,51.78,0
5.79592,4.47,504.09,138.98,0.89,240.17,10.71,64.74,51.95,0
5.91837,4.69,541.64,169.39,0.97,278.24,10.66,64.62,51.66,0
6.04082,4.6,523.6,151.98,0.92,256.83,10.71,65.68,51.46,0
6.16327,4.55,484.8,125.57,0.88,223.18,10.7,64.09,52.73,0
6.28571,4.68,533.6,163.15,0.94,269.04,10.67,64.98,51.59,0
6.40816,4.79,485.28,126.42,0.87,223.87,10.72,64.18,52.07,0
6.53061,4.41,474.91,118.67,0.87,213.13,10.73,64.11,52.96,0
6.65306,4.34,467.84,112.5,0.85,205.8,10.73,64.22,52.56,0
6.77551,4.93,496.0,132.5,0.89,232.15,10.72,64.7,52.33,0
6.89796,4.43,453.7,102.33,0.82,192.32,10.72,63.97,52.53,0
7.02041,4.62,558.06,180.91,0.98,292.58,10.59,65.43,50.88,0
7.14286,4.49,535.04,162.9,0.95,269.94,10.68,65.31,51.32,0
7.26531,4.56,497.22,137.02,0.91,236.88,10.7,63.69,53.0,0
7.38776,4.59,502.38,139.31,0.9,240.21,10.7,64.39,52.28,0
7.5102,4.67,490.09,129.58,0.91,228.76,10.7,64.04,53.16,0
7.63265,4.46,466.29,112.43,0.84,204.09,10.75,64.27,52.33,0
7.7551,4.95,534.97,163.12,0.95,270.85,10.65,65.09,51.26,0
7.87755,4.45,500.87,138.5,0.9,238.41,10.72,64.28,52.43,0
8.0,4.41,472.72,118.33,0.85,211.71,10.73,64.03,52.33,0
