minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.56,535.85,163.61,0.95,271.06,10.67,65.08,51.85,0
1.32653,4.44,480.09,121.23,0.89,218.81,10.67,63.94,52.94,0
1.40306,4.52,476.9,120.63,0.87,216.29,10.68,63.84,52.72,0
1.47959,4.39,484.17,124.84,0.86,222.11,10.65,64.29,51.41,0
1.55612,4.48,501.25,136.64,0.9,238.11,10.69,64.52,52.68,0
1.63265,5.06,494.24,133.64,0.89,231.59,10.66,64.5,52.04,0
1.70918,5.11,550.91,172.09,0.98,284.89,10.62,65.52,51.48,0
1.78571,4.73,516.58,149.97,0.94,254.82,10.67,64.17,52.25,0
1.86224,4.69,502.15,139.63,0.91,240.05,10.64,64.18,52.51,0
1.93878,4.65,498.97,135.32,0.9,235.93,10.69,64.47,52.23,0
2.01531,4.6,488.65,128.25,0.88,226.86,10.69,64.1,52.58,0
2.09184,4.48,504.25,140.65,0.88,241.32,10.68,64.52,51.34,1
2.16837,4.17,453.64,100.56,0.8,190.84,10.71,64.56,51.81,0
2.2449,4.53,472.12,113.97,0.86,209.85,10.73,64.24,52.77,0
2.32143,4.43,463.24,109.66,0.82,201.02,10.7,64.27,52.1,0
2.39796,4.56,554.34,178.26,0.99,289.99,10.62,65.17,51.0,0
2.47449,4.95,491.32,131.44,0.91,230.63,10.65,63.89,52.7,0
2.55102,4.47,527.67,155.87,0.92,263.19,10.67,65.18,51.18,0
2.62755,4.91,487.36,127.28,0.88,224.69,10.7,64.29,52.42,0
2.70408,4.74,537.58,165.41,0.97,274.48,10.64,64.51,52.06,0
2.78061,4.28,460.3,106.49,0.82,198.62,10.71,64.09,52.23,0
2.85714,4.36,454.28,104.17,0.8,192.68,10.7,64.28,51.86,0
2.93367,4.3,461.57,106.31,0.82,197.51,10.72,64.7,52.22,0
3.0102,4.59,483.44,125.72,0.86,222.0,10.67,64.13,51.99,1
3.08673,4.63,512.88,148.95,0.94,252.69,10.65,63.82,51.95,0
3.16327,5.19,473.05,117.47,0.85,210.95,10.65,64.48,51.92,0
3.2398,4.66,523.74,157.37,0.93,260.88,10.65,64.46,51.77,0
3.31633,5.06,561.39,182.96,0.98,296.05,10.58,65.35,50.62,0
3.39286,4.68,606.22,216.63,1.03,336.2,10.62,66.76,50.31,0
3.46939,4.55,511.13,146.7,0.92,249.09,10.66,64.28,52.12,0
3.54592,4.53,526.64,158.22,0.96,263.66,10.63,64.4,52.2,0
3.62245,4.61,563.17,187.36,1.01,300.18,10.57,64.57,51.37,0
3.69898,4.91,512.98,148.17,0.93,251.03,10.62,64.21,52.33,0
3.77551,4.64,509.12,146.06,0.92,247.95,10.66,63.97,52.8,0
3.85204,4.65,588.9,206.19,1.01,321.56,10.61,65.83,50.33,0
3.92857,4.58,492.69,133.01,0.89,232.02,10.65,63.95,52.68,1
4.0051,4.36,474.73,116.27,0.83,210.11,10.67,64.93,51.96,1
4.08163,4.49,497.51,136.23,0.89,235.09,10.66,64.44,52.39,0
4.15816,4.47,513.08,148.06,0.91,249.61,10.64,64.82,51.68,0
4.23469,4.73,566.87,191.79,0.99,303.39,10.57,64.95,50.66,0
4.31122,4.59,506.37,143.76,0.91,243.6,10.65,64.46,51.96,0
4.38776,4.63,526.56,156.96,0.93,261.76,10.64,65.15,51.56,0
4.46429,4.59,484.37,127.04,0.87,223.03,10.66,64.08,52.29,0
4.54082,4.89,503.59,140.87,0.89,240.78,10.67,64.57,51.46,1
4.61735,4.9,505.29,142.98,0.91,243.3,10.64,64.16,52.13,0
4.69388,4.32,460.49,107.82,0.81,198.37,10.69,64.22,52.0,0
4.77041,4.44,526.15,155.3,0.92,260.03,10.63,65.5,51.35,0
4.84694,4.54,501.79,139.05,0.88,237.26,10.65,65.08,51.58,0
4.92347,4.87,509.21,147.86,0.91,247.71,10.6,64.21,51.86,0
