accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.83,641.47,228.81,1.03,376.05,9.96,66.11,47.31,0
1.53878,4.75,591.58,194.63,1.01,332.49,10.02,64.07,48.66,0
1.62755,4.74,568.86,181.44,1.01,311.6,10.11,63.32,49.7,0
1.71633,4.72,556.01,169.08,0.98,296.44,10.26,63.85,50.33,0
1.8051,4.73,503.27,129.08,0.91,245.68,10.35,63.16,51.51,0
1.89388,5.04,539.76,159.01,0.95,280.18,10.33,63.98,50.51,0
1.98265,4.61,551.07,168.66,0.98,293.23,10.35,63.44,50.76,0
2.07143,4.69,548.48,167.38,0.97,288.57,10.42,63.96,50.71,0
2.1602,4.49,521.59,144.35,0.95,262.03,10.51,63.77,51.73,0
2.24898,4.43,534.25,153.3,0.95,273.56,10.54,64.08,50.91,0
2.33776,4.51,504.63,134.09,0.91,244.43,10.61,63.92,51.97,0
2.42653,4.48,490.88,122.02,0.88,229.97,10.66,64.11,52.19,0
2.51531,4.29,455.3,96.73,0.8,193.42,10.74,64.33,51.93,0
2.60408,4.58,525.59,149.77,0.95,264.26,10.68,64.19,52.01,0
2.69286,4.76,469.96,110.7,0.87,210.66,10.75,63.62,53.51,0
2.78163,4.31,483.11,118.04,0.88,221.7,10.79,64.23,52.46,0
2.87041,4.5,548.23,161.95,0.97,283.42,10.74,65.3,51.55,0
2.95918,4.39,483.41,116.31,0.87,220.58,10.85,64.48,52.65,0
3.04796,4.47,483.68,117.72,0.88,220.25,10.89,64.61,52.82,0
3.13673,4.26,483.61,119.06,0.87,221.01,10.89,64.4,52.59,0
3.22551,4.45,493.13,125.07,0.9,231.22,10.92,64.31,53.48,0
3.31429,4.54,533.41,153.1,0.96,268.49,10.87,65.13,52.23,0
3.40306,4.2,456.25,98.7,0.82,192.18,11.01,64.83,52.95,0
3.49184,4.25,470.39,108.02,0.85,205.48,11.01,64.99,52.54,0
3.58061,4.35,518.83,141.02,0.93,253.3,10.96,65.28,52.65,0
3.66939,4.32,463.29,104.91,0.85,200.86,11.02,64.38,53.97,0
3.75816,4.85,497.31,125.87,0.89,230.53,11.03,65.4,53.01,0
3.84694,4.29,469.56,108.73,0.85,204.57,11.08,65.03,53.21,0
3.93571,4.01,454.9,97.64,0.81,187.88,11.12,65.45,53.15,0
4.02449,4.28,480.79,117.08,0.88,218.22,11.09,64.43,54.05,0
4.11327,4.21,464.5,105.59,0.85,201.17,11.09,64.61,53.73,0
4.20204,4.36,450.01,97.17,0.81,186.27,11.13,64.68,53.87,0
4.29082,4.85,511.91,136.97,0.91,243.81,11.07,65.88,53.04,0
4.37959,4.19,509.0,133.68,0.9,240.99,11.07,65.95,52.56,0
4.46837,4.1,462.51,102.98,0.83,196.28,11.15,65.36,53.43,0
4.55714,4.55,458.73,102.31,0.83,193.35,11.17,65.09,53.85,0
4.64592,4.07,467.69,105.71,0.82,197.57,11.21,66.3,53.24,0
4.73469,4.09,442.41,91.69,0.81,177.44,11.21,65.01,54.01,0
4.82347,4.32,474.2,111.8,0.86,207.77,11.22,65.34,53.79,0
4.91224,4.12,457.48,99.42,0.81,188.52,11.23,66.14,53.17,0
5.00102,4.17,445.11,91.04,0.81,178.65,11.25,65.43,53.66,0
5.0898,4.25,501.73,131.87,0.91,235.0,11.2,65.4,53.71,0
5.17857,4.08,456.52,97.66,0.81,186.58,11.26,66.36,53.21,0
5.26735,4.14,490.8,120.39,0.86,218.94,11.24,66.87,53.1,0
5.35612,4.18,442.27,90.3,0.8,175.76,11.3,65.32,54.18,0
5.4449,4.28,457.64,101.24,0.83,190.08,11.28,65.59,53.78,0
5.53367,4.14,462.41,103.6,0.83,194.71,11.25,65.66,53.94,0
5.62245,4.23,448.73,94.46,0.81,181.36,11.32,65.54,54.15,0
5.71122,4.21,460.05,103.11,0.85,193.11,11.29,65.47,54.47,0
