decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.17,467.62,101.72,0.84,207.35,10.7,63.91,52.08,0
3.97959,4.35,509.32,130.11,0.93,249.19,10.64,63.88,52.38,0
4.20918,4.39,493.82,120.32,0.88,232.6,10.68,64.06,51.98,0
4.43878,4.47,491.24,120.67,0.9,230.93,10.67,63.91,52.24,0
4.66837,4.35,475.82,109.29,0.85,215.19,10.69,63.98,52.05,0
4.89796,4.37,495.99,122.62,0.88,234.12,10.72,64.28,51.79,0
5.12755,4.6,456.16,96.83,0.83,195.19,10.73,64.05,52.16,0
5.35714,4.21,476.52,110.28,0.86,215.99,10.74,63.95,51.9,0
5.58673,4.6,568.64,173.33,0.99,302.35,10.68,65.86,50.84,0
5.81633,4.4,514.26,137.46,0.92,252.3,10.75,64.29,52.34,0
6.04592,4.24,464.0,103.6,0.85,203.82,10.8,63.88,52.84,0
6.27551,4.4,462.84,102.99,0.86,202.78,10.8,63.78,53.27,0
6.5051,4.47,509.82,134.64,0.93,248.66,10.73,64.11,52.63,0
6.73469,4.25,467.16,106.32,0.84,205.19,10.81,64.29,52.19,0
6.96429,4.33,508.69,132.66,0.88,243.96,10.81,64.99,51.71,0
7.19388,4.51,514.33,139.13,0.92,252.06,10.78,64.35,52.21,0
7.42347,4.24,488.07,119.8,0.87,225.19,10.84,64.48,52.06,0
7.65306,4.26,506.92,130.96,0.9,242.7,10.82,64.92,51.96,0
7.88265,4.3,500.88,128.7,0.89,235.85,10.82,65.26,52.07,0
8.11224,4.38,506.5,134.44,0.9,243.3,10.82,64.63,52.26,0
8.34184,4.57,569.71,177.52,1.0,300.61,10.79,66.65,51.17,0
8.57143,4.24,463.5,104.24,0.83,201.02,10.88,64.41,52.56,0
8.80102,4.72,587.54,195.16,1.04,318.87,10.75,66.39,51.11,0
9.03061,4.32,491.35,123.34,0.88,228.11,10.9,64.76,52.5,0
9.2602,4.4,514.48,139.6,0.91,250.06,10.86,64.97,52.09,0
9.4898,4.54,504.89,136.11,0.93,244.03,10.83,64.04,52.98,0
9.71939,4.54,488.52,123.6,0.89,227.41,10.86,64.12,53.11,0
9.94898,5.12,570.87,184.42,1.02,305.1,10.76,65.42,51.78,0
10.17857,4.38,470.34,108.85,0.82,205.19,10.92,65.24,52.07,0
10.40816,4.59,498.09,131.86,0.9,236.4,10.87,64.23,52.82,0
10.63776,4.63,507.13,137.67,0.91,243.92,10.86,64.66,52.47,0
10.86735,4.67,502.49,135.02,0.91,240.91,10.89,64.22,52.71,0
11.09694,4.51,501.39,131.51,0.9,237.87,10.87,64.73,52.51,0
11.32653,4.62,566.25,180.41,1.01,300.86,10.82,65.55,51.73,0
11.55612,4.78,557.68,173.87,1.0,292.73,10.82,65.39,51.83,0
11.78571,4.54,509.93,139.38,0.92,248.32,10.91,64.24,52.8,0
12.01531,4.64,558.76,171.3,0.97,289.36,10.84,66.65,51.14,0
12.2449,4.66,559.88,172.01,0.98,291.34,10.83,66.49,51.23,0
12.47449,4.73,545.19,166.07,1.0,281.59,10.88,64.8,52.61,0
12.70408,4.68,535.06,157.52,0.95,269.37,10.91,65.4,52.39,0
12.93367,4.64,525.66,150.89,0.95,261.95,10.94,64.83,53.02,0
13.16327,4.38,468.02,109.45,0.85,204.56,10.97,64.69,53.25,0
13.39286,4.59,522.97,148.8,0.93,257.18,10.89,65.6,52.07,0
13.62245,4.57,538.01,159.38,0.96,273.15,10.89,65.31,52.48,0
13.85204,4.35,476.49,115.9,0.86,212.52,10.94,64.87,52.79,0
14.08163,4.36,462.06,105.97,0.83,197.48,10.98,64.99,52.69,0
14.31122,4.36,448.67,96.25,0.8,184.37,11.0,64.94,52.92,0
14.54082,4.75,477.97,119.46,0.88,216.18,10.95,64.3,53.21,0
14.77041,4.72,576.57,183.31,1.0,304.41,10.9,67.35,51.46,0
15.0,4.41,490.37,126.26,0.88,226.18,10.97,64.93,52.88,0
