tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.36,511.69,163.81,0.91,244.53,11.09,65.74,53.05,1
0.53061,4.71,456.44,117.83,0.84,191.65,11.11,65.03,53.78,0
0.56122,4.32,453.77,117.42,0.83,191.91,11.06,64.26,53.74,0
0.59184,4.42,503.83,155.93,0.93,241.22,11.01,64.43,53.55,0
0.62245,4.25,457.28,118.35,0.84,196.62,11.02,63.99,53.73,0
0.65306,4.24,463.56,118.01,0.84,198.89,11.02,64.94,53.19,0
0.68367,4.45,478.5,130.66,0.88,216.43,10.99,64.42,53.28,0
0.71429,4.88,503.86,147.69,0.92,240.03,10.97,64.95,52.98,0
0.7449,4.33,455.26,109.47,0.84,193.36,10.99,64.33,53.55,0
0.77551,4.27,477.78,124.11,0.88,215.44,10.97,64.44,52.93,0
0.80612,5.02,512.36,151.73,0.93,250.55,10.89,64.24,52.78,0
0.83673,4.38,457.06,107.22,0.84,195.96,10.94,64.12,53.05,0
0.86735,4.92,510.53,144.32,0.91,245.32,10.86,65.26,52.1,0
0.89796,4.79,518.53,146.27,0.92,252.83,10.82,65.32,51.71,0
0.92857,4.25,482.11,119.53,0.87,219.92,10.86,64.33,52.41,0
0.95918,4.42,521.79,146.44,0.95,257.9,10.82,64.8,52.64,0
0.9898,4.7,494.03,124.44,0.9,231.48,10.83,64.43,52.81,0
1.02041,4.48,510.55,135.06,0.91,246.39,10.8,64.81,52.12,0
1.05102,4.37,492.49,120.08,0.88,229.42,10.81,64.53,52.31,0
1.08163,4.37,482.48,112.02,0.87,219.77,10.8,64.48,52.13,0
1.11224,4.44,490.4,116.99,0.89,228.61,10.77,64.25,52.49,0
1.14286,4.35,479.56,108.06,0.85,217.54,10.77,64.27,51.85,0
1.17347,4.29,474.84,104.18,0.86,213.78,10.74,64.1,52.24,0
1.20408,4.82,478.78,105.7,0.88,219.11,10.7,63.75,52.63,0
1.23469,4.41,490.94,110.99,0.89,230.1,10.71,64.07,52.53,0
1.26531,4.38,464.43,94.02,0.83,202.75,10.7,64.22,52.14,0
1.29592,4.63,524.92,131.81,0.95,264.95,10.62,63.79,52.16,0
1.32653,5.35,500.68,117.82,0.91,241.11,10.59,63.68,52.52,0
1.35714,4.43,493.31,107.08,0.87,231.84,10.62,64.14,51.37,0
1.38776,4.57,502.91,116.28,0.91,244.66,10.59,63.32,52.23,0
1.41837,4.29,469.04,92.84,0.84,208.51,10.63,63.89,51.9,0
1.44898,4.49,534.11,131.49,0.96,273.71,10.52,63.86,51.76,0
1.47959,4.66,567.39,148.88,1.02,305.34,10.49,64.37,50.82,0
1.5102,4.83,508.64,111.96,0.93,250.4,10.48,63.35,51.43,0
1.54082,4.42,515.99,115.24,0.91,256.63,10.48,63.62,51.47,0
1.57143,4.58,519.79,117.84,0.93,260.63,10.48,63.56,51.36,0
1.60204,4.67,567.02,144.99,1.04,308.29,10.39,63.49,51.0,0
1.63265,4.63,593.01,161.2,1.05,332.76,10.37,63.88,50.17,0
1.66327,4.64,548.76,130.47,1.0,290.39,10.37,63.37,51.04,0
1.69388,4.49,521.42,115.58,0.95,264.07,10.34,63.02,51.14,0
1.72449,4.61,531.62,118.66,0.95,273.55,10.35,63.29,50.75,0
1.7551,4.39,500.66,100.71,0.92,245.36,10.3,62.63,51.18,0
1.78571,4.86,560.93,134.37,0.99,301.07,10.3,63.78,49.98,0
1.81633,4.41,527.99,112.63,0.93,269.5,10.3,63.41,50.37,0
1.84694,4.56,590.78,143.72,1.03,328.94,10.22,64.54,49.43,0
1.87755,4.67,579.27,136.71,1.02,316.84,10.2,64.69,49.46,0
1.90816,4.62,583.28,138.65,1.05,324.79,10.19,63.48,49.66,0
1.93878,4.51,550.34,118.06,0.97,292.18,10.19,63.32,49.91,0
1.96939,4.7,567.23,132.12,1.01,310.41,10.15,62.97,49.91,0
2.0,4.95,567.11,127.63,1.02,309.7,10.14,63.11,49.87,0
