minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,3.2,278.04,60.05,0.51,114.01,10.82,42.97,38.33,0
1.32653,3.29,280.77,60.99,0.52,116.58,10.84,43.05,38.63,0
1.40306,3.2,269.17,55.37,0.5,107.82,10.8,42.31,38.02,0
1.47959,3.25,274.07,58.25,0.5,111.81,10.84,42.56,38.36,0
1.55612,3.16,268.66,55.29,0.5,107.54,10.79,42.25,38.31,0
1.63265,3.18,271.55,56.06,0.5,108.83,10.8,42.65,38.32,0
1.70918,3.2,273.1,58.22,0.5,110.97,10.77,42.47,37.9,0
1.78571,3.17,273.8,57.02,0.5,110.21,10.82,42.96,38.24,0
1.86224,3.23,269.72,55.15,0.5,108.19,10.8,42.37,38.16,0
1.93878,3.21,270.35,55.4,0.51,108.33,10.81,42.47,38.31,0
2.01531,3.19,275.23,58.33,0.49,112.37,10.8,42.74,38.03,0
2.09184,3.24,273.44,58.27,0.51,111.29,10.78,42.49,38.08,0
2.16837,3.22,270.96,54.84,0.5,108.37,10.81,42.66,38.14,0
2.2449,3.28,275.22,61.26,0.52,114.46,10.75,42.12,38.21,0
2.32143,3.26,272.11,57.6,0.5,110.58,10.82,42.41,38.35,0
2.39796,3.21,269.64,55.69,0.51,108.13,10.78,42.31,38.3,0
2.47449,3.26,276.89,60.37,0.51,114.32,10.79,42.62,38.21,0
2.55102,3.28,277.44,60.68,0.5,114.13,10.82,42.89,38.41,0
2.62755,3.2,272.91,56.74,0.5,110.01,10.84,42.81,38.31,0
2.70408,3.29,274.67,58.18,0.51,111.42,10.83,42.85,38.53,0
2.78061,3.32,276.51,61.03,0.52,113.95,10.81,42.72,38.24,0
2.85714,3.3,277.18,61.07,0.51,114.65,10.79,42.63,38.3,0
2.93367,3.27,273.57,56.67,0.5,110.34,10.81,42.8,38.14,0
3.0102,3.3,273.56,57.72,0.51,110.74,10.83,42.6,38.46,0
3.08673,3.25,273.08,56.72,0.51,109.94,10.8,42.79,38.27,0
3.16327,3.27,275.84,60.36,0.51,112.83,10.85,42.78,38.4,0
3.2398,3.3,278.61,63.79,0.52,117.69,10.76,42.18,38.08,0
3.31633,3.27,275.02,59.38,0.51,111.82,10.82,42.76,38.36,0
3.39286,3.22,274.8,60.47,0.51,112.98,10.79,42.4,38.4,0
3.46939,3.24,275.65,59.1,0.5,112.29,10.83,42.8,38.22,0
3.54592,3.28,272.43,57.8,0.51,109.72,10.78,42.67,38.39,0
3.62245,3.28,275.78,59.11,0.51,112.0,10.84,42.97,38.32,0
3.69898,3.23,276.18,59.87,0.51,113.06,10.81,42.83,38.43,0
3.77551,3.18,271.71,57.04,0.51,109.36,10.82,42.65,38.49,0
3.85204,3.28,273.31,59.34,0.51,111.04,10.81,42.56,38.28,0
3.92857,3.21,276.98,61.05,0.51,114.57,10.79,42.64,37.86,0
4.0051,3.26,269.44,54.98,0.5,107.65,10.84,42.37,38.46,0
4.08163,3.16,270.65,55.08,0.5,107.12,10.85,42.83,38.49,0
4.15816,3.17,274.9,60.26,0.51,112.98,10.76,42.46,38.03,0
4.23469,3.29,276.07,60.93,0.51,113.47,10.8,42.67,38.57,0
4.31122,3.28,276.71,59.39,0.5,112.46,10.86,43.06,38.19,0
4.38776,3.26,275.76,61.33,0.52,114.49,10.77,42.31,38.32,0
4.46429,3.21,278.46,61.51,0.51,115.02,10.8,42.82,38.08,0
4.54082,3.24,272.38,57.47,0.51,109.52,10.84,42.59,38.64,0
4.61735,3.26,273.59,57.74,0.51,110.4,10.87,42.72,38.5,0
4.69388,3.23,277.99,62.94,0.5,115.3,10.78,42.64,38.42,0
4.77041,3.21,272.6,57.1,0.51,109.89,10.83,42.67,38.66,0
4.84694,3.22,277.61,61.81,0.51,114.86,10.8,42.74,37.84,0
4.92347,3.23,273.14,58.47,0.51,110.52,10.83,42.6,38.6,0
