accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.91,508.98,138.22,0.89,246.38,10.49,64.5,51.39,0
1.53878,4.88,548.16,171.15,1.0,287.12,10.44,64.27,51.28,0
1.62755,4.58,511.52,141.32,0.92,250.05,10.51,64.15,51.92,0
1.71633,4.74,558.21,180.17,0.99,295.68,10.46,64.76,50.33,0
1.8051,4.61,494.16,129.76,0.88,232.63,10.54,64.27,51.66,0
1.89388,4.81,478.75,120.91,0.87,218.14,10.59,63.7,52.41,0
1.98265,4.86,593.54,208.01,1.05,329.51,10.42,65.11,50.59,0
2.07143,5.04,536.41,163.21,0.97,275.07,10.53,64.14,51.74,0
2.1602,4.7,555.7,176.95,0.99,292.14,10.54,64.85,51.23,0
2.24898,4.48,495.62,131.29,0.9,233.87,10.65,64.19,52.2,0
2.33776,4.81,545.88,171.11,1.01,283.85,10.58,64.33,52.27,0
2.42653,4.43,499.46,135.55,0.89,235.93,10.61,64.78,51.54,0
2.51531,4.58,582.67,196.29,1.01,315.13,10.57,65.98,50.22,0
2.60408,4.41,459.8,105.69,0.82,198.23,10.71,64.17,52.36,0
2.69286,4.53,498.49,134.11,0.9,235.27,10.67,64.53,52.44,0
2.78163,4.36,502.91,134.6,0.88,236.96,10.65,65.56,51.12,0
2.87041,5.08,547.19,172.92,0.98,283.26,10.59,64.9,51.72,0
2.95918,4.5,495.98,134.57,0.9,234.9,10.68,63.97,52.51,1
3.04796,4.48,479.08,120.71,0.86,216.79,10.7,64.32,52.1,0
3.13673,4.46,507.44,143.11,0.91,244.55,10.69,64.47,52.14,0
3.22551,4.51,502.55,138.14,0.89,239.34,10.7,64.63,52.16,0
3.31429,4.42,482.65,124.45,0.87,220.22,10.7,64.24,52.2,0
3.40306,5.01,523.45,156.08,0.96,260.75,10.65,64.51,52.48,0
3.49184,4.28,447.36,98.86,0.82,186.98,10.74,63.74,52.85,0
3.58061,4.46,481.67,123.47,0.89,219.78,10.69,64.12,52.9,0
3.66939,4.51,496.72,134.99,0.89,234.42,10.73,64.28,52.41,0
3.75816,4.41,499.33,135.25,0.89,235.5,10.73,64.76,52.61,0
3.84694,4.45,468.21,113.07,0.84,206.11,10.76,64.17,52.13,0
3.93571,4.74,550.03,175.77,1.0,286.14,10.68,64.81,51.7,0
4.02449,4.51,483.53,122.36,0.86,218.55,10.76,65.14,52.03,0
4.11327,4.44,480.71,121.83,0.85,217.63,10.76,64.61,52.53,0
4.20204,4.4,461.44,107.2,0.83,198.3,10.8,64.44,52.42,0
4.29082,4.55,555.41,180.37,1.01,291.77,10.66,64.82,51.55,0
4.37959,4.49,503.92,140.76,0.9,241.11,10.76,64.45,52.3,0
4.46837,4.44,452.94,100.97,0.82,189.19,10.8,64.59,52.79,0
4.55714,4.46,491.65,128.86,0.87,226.65,10.77,65.02,52.12,0
4.64592,4.49,510.16,145.63,0.93,247.28,10.71,64.4,52.61,0
4.73469,4.7,506.41,141.6,0.92,242.8,10.74,64.51,52.75,0
4.82347,4.57,565.31,186.6,0.98,297.53,10.7,66.07,50.72,0
4.91224,4.47,458.16,107.26,0.83,196.78,10.77,64.11,53.02,0
5.00102,4.51,515.85,150.74,0.92,253.11,10.75,64.45,52.1,0
5.0898,4.53,531.6,160.64,0.96,267.03,10.75,65.04,51.8,0
5.17857,4.63,528.67,157.83,0.95,264.05,10.73,64.98,51.73,0
5.26735,4.44,513.61,147.61,0.92,250.45,10.77,64.54,52.48,0
5.35612,4.79,480.83,122.25,0.87,216.76,10.77,64.74,52.29,0
5.4449,4.55,499.12,136.66,0.89,235.92,10.76,64.61,52.35,0
5.53367,4.76,461.45,108.65,0.82,197.88,10.79,64.62,52.63,0
5.62245,4.65,564.95,189.21,1.01,299.78,10.7,65.23,51.71,0
5.71122,4.84,463.23,109.69,0.84,200.43,10.81,64.52,52.67,0
