tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.45,497.79,139.86,0.89,233.99,10.75,64.75,52.21,49
0.53061,4.48,465.96,114.31,0.84,201.54,10.78,65.01,52.14,30
0.56122,4.25,467.57,114.76,0.83,203.37,10.75,65.01,51.68,23
0.59184,4.56,500.82,141.26,0.9,236.21,10.74,64.95,52.4,26
0.62245,4.49,498.19,138.19,0.88,234.35,10.72,64.73,51.78,16
0.65306,4.46,510.58,149.25,0.93,247.53,10.69,64.38,52.39,7
0.68367,4.28,457.25,106.41,0.82,194.01,10.78,64.58,52.54,3
0.71429,4.56,465.7,113.95,0.85,203.28,10.72,64.34,53.15,1
0.7449,4.49,513.05,148.51,0.91,249.2,10.69,64.62,51.64,2
0.77551,4.44,490.23,134.12,0.88,229.49,10.71,63.96,52.23,0
0.80612,4.59,527.26,159.9,0.93,262.99,10.69,64.93,51.65,0
0.83673,4.48,493.66,134.35,0.89,231.92,10.69,64.26,52.53,0
0.86735,4.83,486.52,125.55,0.84,220.89,10.71,65.49,51.03,0
0.89796,4.5,484.24,126.49,0.88,222.74,10.72,64.0,52.91,0
0.92857,4.7,507.81,144.41,0.93,245.86,10.67,64.16,53.03,0
0.95918,4.49,482.35,122.68,0.85,218.17,10.73,64.98,51.74,0
0.9898,4.49,487.91,128.52,0.88,226.67,10.65,63.97,52.16,0
1.02041,4.33,463.83,111.39,0.86,204.53,10.69,63.4,53.18,0
1.05102,4.41,522.33,152.12,0.93,259.86,10.63,64.62,50.93,0
1.08163,4.65,544.76,167.06,0.96,280.1,10.61,65.19,51.11,0
1.11224,4.49,520.37,151.38,0.92,257.86,10.6,64.56,51.4,0
1.14286,4.51,518.87,147.39,0.93,255.38,10.63,64.7,51.97,0
1.17347,4.68,557.52,178.57,0.99,293.59,10.56,64.98,51.03,0
1.20408,4.74,460.27,105.17,0.84,198.55,10.68,64.11,53.03,0
1.23469,4.4,482.44,122.9,0.87,222.47,10.62,63.71,51.93,0
1.26531,4.49,481.8,121.13,0.88,221.67,10.64,63.68,52.53,0
1.29592,4.65,518.16,143.66,0.94,255.27,10.62,64.48,52.22,0
1.32653,4.47,465.51,108.68,0.83,203.94,10.63,64.06,51.76,0
1.35714,4.56,518.54,145.28,0.94,257.69,10.59,64.0,52.03,0
1.38776,4.57,469.08,109.9,0.86,208.28,10.63,63.86,52.76,0
1.41837,4.42,486.58,125.04,0.88,226.86,10.61,63.65,52.16,0
1.44898,4.46,505.2,134.94,0.9,243.41,10.61,64.17,52.12,0
1.47959,4.82,528.53,149.89,0.9,262.88,10.57,65.57,50.13,0
1.5102,4.49,486.66,120.55,0.87,225.2,10.62,64.04,52.25,0
1.54082,4.58,574.87,182.54,1.0,309.24,10.48,65.53,50.26,0
1.57143,4.46,502.25,132.62,0.92,241.79,10.58,63.79,52.5,0
1.60204,4.54,516.94,142.07,0.95,256.65,10.57,63.7,52.41,0
1.63265,4.52,514.2,139.83,0.93,253.22,10.58,64.0,52.65,0
1.66327,4.66,558.04,164.53,0.98,293.3,10.56,65.0,50.85,0
1.69388,4.64,542.12,158.75,0.99,282.26,10.48,63.71,51.26,0
1.72449,4.59,503.51,130.63,0.9,243.73,10.55,63.72,51.61,0
1.7551,5.34,531.37,150.58,0.94,271.1,10.46,63.86,50.97,0
1.78571,4.51,512.18,134.7,0.92,252.52,10.5,63.74,51.37,0
1.81633,4.77,581.38,187.53,1.04,316.36,10.42,65.2,50.09,0
1.84694,4.67,562.41,169.67,0.99,299.66,10.45,64.79,50.63,0
1.87755,4.47,515.15,133.42,0.91,254.0,10.5,64.12,51.6,0
1.90816,4.79,578.19,179.99,1.01,313.91,10.46,64.97,50.36,0
1.93878,4.43,525.37,142.09,0.93,262.75,10.5,64.6,50.94,0
1.96939,4.54,546.1,157.9,0.95,283.06,10.47,64.85,50.09,0
2.0,4.47,528.55,142.29,0.94,265.64,10.49,64.44,51.02,0
