decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.35,477.6,100.95,0.85,217.75,10.44,63.62,51.12,0
3.97959,4.19,470.23,100.21,0.86,214.45,10.43,62.58,51.59,0
4.20918,4.34,508.18,125.83,0.93,250.31,10.45,63.1,51.71,0
4.43878,4.42,520.69,138.04,0.95,262.85,10.41,63.04,51.84,0
4.66837,4.18,463.58,91.61,0.83,204.0,10.53,63.57,51.57,0
4.89796,4.7,576.12,176.59,1.04,313.48,10.44,64.35,50.53,0
5.12755,4.59,532.51,146.2,0.96,272.77,10.47,63.57,51.05,0
5.35714,4.43,506.04,123.95,0.9,246.06,10.49,63.65,50.74,0
5.58673,4.49,533.59,143.99,0.94,271.77,10.49,64.13,50.89,0
5.81633,4.45,527.09,142.26,0.95,266.88,10.49,63.7,51.35,0
6.04592,4.33,499.29,121.9,0.89,239.27,10.52,63.62,51.4,0
6.27551,4.38,479.62,106.0,0.87,219.33,10.56,63.7,51.76,0
6.5051,4.63,561.11,168.76,1.02,299.28,10.47,64.16,50.99,0
6.73469,4.45,511.47,128.09,0.91,248.47,10.58,64.44,51.16,0
6.96429,4.65,568.54,171.87,1.02,304.72,10.51,64.64,50.99,0
7.19388,4.85,505.98,128.41,0.92,246.49,10.52,63.48,51.51,0
7.42347,4.5,532.49,147.1,0.98,272.83,10.54,63.6,51.41,0
7.65306,4.3,475.05,103.76,0.85,213.45,10.61,64.06,51.68,0
7.88265,4.74,564.43,167.5,1.02,299.56,10.54,64.9,51.07,0
8.11224,4.32,512.49,131.6,0.9,250.58,10.61,64.14,51.38,0
8.34184,4.31,507.92,128.96,0.91,245.99,10.59,64.13,51.28,0
8.57143,4.44,525.83,141.55,0.94,263.18,10.6,64.33,51.68,0
8.80102,5.28,525.91,144.22,0.95,264.93,10.57,63.87,52.0,0
9.03061,4.99,569.63,173.25,1.03,304.06,10.54,65.4,51.05,0
9.2602,4.88,637.11,229.53,1.06,367.59,10.37,66.86,48.62,0
9.4898,5.0,546.29,160.46,1.01,285.41,10.55,63.86,51.89,0
9.71939,4.32,485.05,111.71,0.87,223.09,10.65,64.1,51.94,0
9.94898,4.39,481.29,109.34,0.87,219.52,10.67,64.04,51.93,0
10.17857,4.65,557.97,166.09,1.02,294.69,10.59,64.5,51.75,0
10.40816,4.6,556.98,162.03,0.99,292.2,10.57,65.01,50.79,0
10.63776,4.39,499.18,123.63,0.9,237.33,10.68,64.06,52.09,0
10.86735,4.56,514.55,134.81,0.92,252.88,10.64,64.04,52.06,0
11.09694,4.56,564.47,169.49,1.0,299.12,10.58,65.1,50.87,0
11.32653,4.55,479.98,111.18,0.89,220.76,10.65,63.42,52.44,0
11.55612,4.58,495.76,120.71,0.88,232.9,10.67,64.38,51.87,0
11.78571,4.4,464.3,97.5,0.84,202.57,10.71,64.05,52.1,0
12.01531,4.74,504.37,125.35,0.89,239.85,10.69,64.82,51.66,0
12.2449,4.57,481.72,110.02,0.88,220.07,10.69,64.06,52.48,0
12.47449,4.51,513.78,133.32,0.92,249.94,10.67,64.54,52.13,0
12.70408,4.67,570.0,171.17,1.0,302.21,10.62,66.02,50.79,0
12.93367,4.44,499.61,122.38,0.9,236.12,10.71,64.52,52.04,0
13.16327,4.67,556.06,161.91,0.99,290.52,10.65,65.08,51.32,0
13.39286,4.6,553.18,161.4,1.0,288.69,10.65,64.79,51.64,0
13.62245,4.29,468.03,99.15,0.85,205.81,10.71,64.22,52.3,0
13.85204,4.49,498.99,122.05,0.9,235.88,10.71,64.43,52.34,0
14.08163,4.43,481.71,108.65,0.86,217.26,10.71,64.76,52.11,0
14.31122,4.56,541.49,152.95,0.98,277.46,10.62,64.67,51.76,0
14.54082,4.43,467.99,100.77,0.86,206.2,10.73,64.13,52.69,0
14.77041,4.3,460.49,95.75,0.84,197.57,10.73,64.36,52.39,0
15.0,4.28,461.84,96.2,0.84,199.2,10.73,64.3,52.4,0
