delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.7,465.39,94.45,0.84,209.86,10.28,62.34,51.39,0
2.12245,4.93,500.05,120.7,0.91,244.2,10.3,62.46,51.56,0
2.2449,4.66,555.14,159.12,0.99,295.11,10.26,63.61,50.33,0
2.36735,4.83,510.3,125.94,0.92,251.31,10.34,63.41,51.07,0
2.4898,4.88,504.22,121.91,0.9,244.86,10.36,63.48,50.82,0
2.61224,4.4,490.45,114.7,0.89,234.01,10.39,62.75,51.69,0
2.73469,4.57,546.02,153.82,0.97,284.81,10.36,63.95,50.47,0
2.85714,4.41,494.58,115.49,0.88,233.93,10.47,63.8,51.13,0
2.97959,4.44,510.32,128.62,0.92,250.5,10.45,63.55,51.23,0
3.10204,4.44,502.74,123.18,0.89,242.76,10.47,63.65,50.96,0
3.22449,4.51,548.59,156.16,0.98,286.41,10.47,64.26,50.93,0
3.34694,4.5,555.12,156.22,0.97,288.49,10.44,65.68,49.81,0
3.46939,4.47,530.27,142.83,0.96,269.02,10.53,63.95,51.62,0
3.59184,4.83,530.31,143.92,0.97,269.79,10.49,63.77,51.13,0
3.71429,4.32,502.58,123.87,0.9,241.54,10.56,63.91,51.47,0
3.83673,4.81,538.01,147.3,0.93,272.75,10.51,65.24,50.38,0
3.95918,4.43,494.84,119.04,0.9,235.27,10.59,63.55,52.21,0
4.08163,4.77,568.9,176.32,1.03,306.73,10.5,64.2,51.49,0
4.20408,4.46,513.33,132.87,0.93,253.3,10.58,63.67,51.6,0
4.32653,4.39,518.45,137.87,0.96,258.7,10.58,63.52,52.17,0
4.44898,4.3,475.96,105.27,0.86,214.72,10.64,63.93,52.14,0
4.57143,4.54,581.56,184.34,1.04,316.6,10.53,65.19,50.63,0
4.69388,4.63,538.05,147.19,0.96,273.15,10.62,64.86,51.38,0
4.81633,4.97,532.06,147.46,0.97,271.04,10.58,63.93,51.73,0
4.93878,4.49,487.1,114.42,0.89,226.28,10.64,63.86,52.21,0
5.06122,4.57,520.79,140.22,0.95,260.42,10.64,63.78,51.95,0
5.18367,4.47,550.61,159.31,0.99,286.4,10.61,64.77,51.38,0
5.30612,4.45,490.31,115.0,0.87,228.13,10.69,64.14,51.67,0
5.42857,4.46,537.09,150.04,0.97,273.45,10.66,64.61,51.69,0
5.55102,4.3,493.32,120.0,0.9,233.69,10.67,63.6,52.26,0
5.67347,4.47,475.04,106.16,0.87,214.16,10.73,63.92,52.28,0
5.79592,4.63,541.74,153.43,0.96,276.38,10.67,65.03,51.47,0
5.91837,4.51,564.24,169.53,1.01,298.65,10.67,65.17,51.29,0
6.04082,4.36,513.76,133.2,0.91,248.95,10.73,64.83,51.92,0
6.16327,4.19,452.61,93.57,0.83,193.84,10.74,63.38,52.37,0
6.28571,4.25,473.19,105.82,0.85,211.72,10.74,64.07,52.17,0
6.40816,4.5,500.01,125.27,0.9,237.92,10.7,64.19,51.83,0
6.53061,4.51,527.69,143.2,0.94,263.05,10.71,64.84,51.85,0
6.65306,4.53,528.99,146.31,0.96,266.78,10.7,64.23,52.14,0
6.77551,4.5,539.38,151.28,0.97,274.18,10.7,64.95,51.67,0
6.89796,4.35,539.14,148.22,0.95,271.41,10.71,65.91,51.36,0
7.02041,4.53,498.34,124.8,0.91,237.32,10.75,63.96,52.57,0
7.14286,4.29,475.92,103.1,0.84,210.4,10.76,65.11,51.31,0
7.26531,4.49,493.66,119.2,0.89,230.28,10.78,64.52,52.41,0
7.38776,4.72,497.76,121.4,0.88,232.64,10.73,65.05,51.68,0
7.5102,4.3,458.01,94.75,0.83,196.49,10.8,64.08,52.74,0
7.63265,4.48,512.64,131.14,0.93,247.8,10.77,64.83,52.32,0
7.7551,4.57,579.77,179.62,1.03,310.38,10.67,66.42,51.12,0
7.87755,4.16,463.68,96.01,0.83,200.37,10.77,64.47,52.06,0
8.0,4.39,548.38,157.94,0.98,281.89,10.71,65.37,51.52,0
