delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.0,4.43,446.22,97.85,0.79,184.44,10.72,64.17,52.49,0
2.12245,4.44,491.7,134.43,0.89,229.31,10.66,64.26,52.46,0
2.2449,4.62,490.04,129.97,0.88,226.31,10.67,64.64,52.4,0
2.36735,4.41,458.37,105.65,0.81,194.13,10.75,64.88,52.15,0
2.4898,4.55,487.84,130.6,0.88,226.03,10.69,64.29,52.39,0
2.61224,4.58,510.49,146.28,0.91,247.01,10.67,64.78,51.9,0
2.73469,4.76,576.56,196.15,1.03,309.72,10.61,65.75,51.3,0
2.85714,4.65,529.7,162.52,0.97,267.72,10.62,64.14,52.66,0
2.97959,4.62,502.79,141.55,0.89,237.38,10.69,65.22,52.05,0
3.10204,4.81,475.32,120.52,0.85,211.91,10.71,64.6,52.56,0
3.22449,4.4,475.85,119.55,0.84,211.11,10.75,65.11,52.04,0
3.34694,4.59,512.45,147.3,0.91,247.72,10.72,65.07,52.34,0
3.46939,4.56,488.28,131.2,0.89,225.31,10.72,64.51,52.99,0
3.59184,4.91,508.04,145.45,0.92,244.68,10.67,64.63,52.26,0
3.71429,4.83,472.62,118.89,0.86,209.46,10.72,64.37,52.75,0
3.83673,4.52,472.79,118.75,0.86,209.71,10.74,64.35,53.24,0
3.95918,4.49,546.21,172.67,0.97,279.68,10.68,65.69,51.56,0
4.08163,4.5,489.39,131.45,0.88,225.82,10.7,64.62,52.25,0
4.20408,4.31,447.67,100.4,0.82,185.17,10.76,64.17,53.34,0
4.32653,4.33,492.45,132.93,0.87,227.94,10.73,65.16,51.79,0
4.44898,4.33,465.85,111.96,0.82,201.48,10.75,64.7,52.12,0
4.57143,4.74,557.19,183.78,1.01,292.44,10.65,65.23,51.53,0
4.69388,4.54,528.57,160.91,0.94,264.77,10.68,64.97,52.09,0
4.81633,4.75,523.3,155.49,0.93,257.94,10.7,65.39,52.3,0
4.93878,4.48,511.98,150.36,0.92,249.84,10.67,64.41,52.19,0
5.06122,4.99,520.88,156.84,0.92,257.64,10.67,64.61,52.12,0
5.18367,4.43,493.41,133.6,0.89,229.26,10.73,64.87,52.41,0
5.30612,4.93,485.95,127.79,0.87,222.24,10.72,64.68,52.42,0
5.42857,4.42,459.98,108.32,0.82,196.3,10.78,64.59,52.6,0
5.55102,4.55,488.65,129.66,0.86,222.37,10.75,65.6,51.71,0
5.67347,4.66,507.63,145.23,0.91,244.56,10.71,64.46,52.39,0
5.79592,4.97,494.51,135.53,0.91,232.06,10.68,64.33,52.73,0
5.91837,4.45,509.21,145.78,0.92,245.61,10.72,64.63,52.36,0
6.04082,4.5,490.23,131.17,0.88,226.83,10.72,64.69,52.64,0
6.16327,4.45,473.02,121.17,0.86,210.86,10.75,64.13,52.98,0
6.28571,4.66,518.0,152.88,0.93,253.86,10.69,65.02,51.98,0
6.40816,4.96,492.49,133.23,0.89,229.17,10.71,64.78,52.68,0
6.53061,4.45,473.0,120.63,0.87,211.23,10.73,64.16,52.98,0
6.65306,4.5,466.93,114.42,0.84,204.1,10.76,64.35,52.84,0
6.77551,4.62,518.07,153.22,0.91,253.42,10.71,64.98,51.91,0
6.89796,4.85,486.49,129.23,0.86,221.75,10.75,64.97,52.35,0
7.02041,5.02,508.09,145.08,0.93,244.87,10.69,64.49,52.64,0
7.14286,4.76,571.8,195.7,1.01,305.74,10.64,65.5,51.24,0
7.26531,4.37,464.46,112.54,0.83,201.86,10.74,64.37,52.21,0
7.38776,4.88,552.85,182.48,1.02,290.44,10.63,64.34,52.04,0
7.5102,4.78,547.07,177.1,1.0,283.85,10.65,64.55,52.12,0
7.63265,4.56,523.45,156.23,0.93,258.71,10.68,65.24,51.47,0
7.7551,4.39,474.42,119.32,0.85,210.53,10.76,64.72,52.57,0
7.87755,4.62,530.22,161.75,0.95,265.67,10.69,65.09,51.82,0
8.0,4.72,549.53,178.52,0.99,284.27,10.66,65.21,51.91,0
