accel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.45,4.71,522.11,146.33,0.93,264.32,10.25,63.15,50.7,0
1.53878,4.69,522.04,142.89,0.92,263.58,10.26,63.23,50.95,0
1.62755,5.68,582.35,189.82,1.04,320.62,10.25,64.4,50.26,0
1.71633,5.13,580.2,185.37,0.97,313.31,10.31,65.93,49.14,0
1.8051,4.71,548.0,161.47,0.96,283.32,10.38,65.24,50.14,0
1.89388,4.69,534.8,153.89,0.96,274.6,10.38,63.88,50.99,0
1.98265,4.59,560.63,174.07,0.99,297.46,10.38,64.75,50.55,0
2.07143,4.57,511.1,137.56,0.9,249.99,10.47,64.03,51.08,0
2.1602,4.53,513.06,140.72,0.92,253.4,10.45,63.66,51.44,0
2.24898,4.67,542.73,163.19,0.98,281.64,10.45,64.03,51.0,0
2.33776,4.55,518.69,143.63,0.9,255.75,10.48,64.81,50.31,0
2.42653,5.02,512.29,140.82,0.92,251.19,10.5,64.02,51.86,0
2.51531,4.65,506.82,137.82,0.93,247.6,10.57,63.59,52.3,0
2.60408,4.38,504.49,134.05,0.9,243.31,10.57,64.04,51.39,0
2.69286,4.41,499.92,130.94,0.91,239.24,10.59,63.92,52.28,0
2.78163,4.43,507.81,135.69,0.9,245.65,10.62,64.37,51.46,0
2.87041,5.04,574.31,189.41,1.03,310.79,10.53,64.94,50.83,0
2.95918,4.57,519.59,145.22,0.92,256.74,10.62,64.55,51.53,0
3.04796,4.56,501.73,132.9,0.91,238.76,10.63,64.48,51.71,0
3.13673,4.4,503.8,133.96,0.89,240.84,10.65,64.7,51.1,0
3.22551,4.36,489.67,123.28,0.88,227.62,10.71,64.27,52.05,0
3.31429,4.57,479.35,118.1,0.87,217.74,10.7,64.08,52.56,0
3.40306,4.45,492.91,126.74,0.89,231.15,10.69,64.07,52.47,0
3.49184,4.44,501.39,133.29,0.9,239.14,10.73,64.27,52.22,0
3.58061,4.32,463.73,105.65,0.82,201.28,10.76,64.35,52.05,0
3.66939,4.24,478.29,116.62,0.85,214.72,10.73,64.62,51.78,0
3.75816,4.87,485.32,123.01,0.88,224.12,10.7,64.07,52.28,0
3.84694,4.7,542.25,165.38,0.98,279.45,10.63,64.43,51.73,0
3.93571,4.74,490.3,127.89,0.88,228.25,10.77,64.24,52.58,0
4.02449,4.83,474.81,113.4,0.87,211.19,10.77,64.62,52.81,0
4.11327,4.48,475.76,115.87,0.88,214.48,10.74,64.03,52.81,0
4.20204,4.53,500.5,135.05,0.89,237.79,10.75,64.43,51.91,0
4.29082,4.78,508.05,139.92,0.91,243.53,10.74,64.81,51.94,0
4.37959,4.5,512.44,141.38,0.91,246.12,10.81,65.42,52.22,0
4.46837,4.28,453.46,97.65,0.83,190.96,10.82,64.25,52.9,0
4.55714,4.66,520.75,149.23,0.95,256.81,10.76,64.59,52.3,0
4.64592,4.41,471.01,112.26,0.86,209.11,10.82,64.1,52.69,0
4.73469,4.41,501.48,132.5,0.89,234.89,10.79,65.3,52.26,0
4.82347,4.39,506.44,138.54,0.91,243.39,10.77,64.46,52.43,0
4.91224,4.42,490.47,127.43,0.87,227.24,10.79,64.56,51.82,0
5.00102,4.26,466.26,107.14,0.84,202.26,10.85,64.7,52.58,0
5.0898,4.45,478.54,116.91,0.85,212.68,10.83,65.12,52.18,0
5.17857,4.39,481.34,118.9,0.85,216.77,10.85,64.93,52.15,0
5.26735,4.57,521.16,147.89,0.9,253.34,10.8,65.81,52.1,0
5.35612,4.35,497.32,131.24,0.89,233.66,10.84,64.61,52.55,1
5.4449,4.39,473.39,113.54,0.86,210.39,10.86,64.48,53.02,0
5.53367,4.53,511.02,140.43,0.9,244.22,10.83,65.5,52.19,0
5.62245,4.67,474.47,114.97,0.87,211.63,10.83,64.47,52.74,0
5.71122,4.43,471.65,113.17,0.86,208.9,10.85,64.35,52.85,0
