decel,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.75,4.53,540.22,160.81,0.97,279.7,10.5,63.88,50.73,0
3.97959,4.61,465.57,103.19,0.83,204.12,10.6,64.1,51.27,0
4.20918,4.67,546.81,165.36,0.98,284.59,10.5,64.39,51.12,0
4.43878,4.39,492.49,123.9,0.89,232.03,10.6,63.81,52.07,0
4.66837,4.43,447.46,92.3,0.8,187.16,10.62,63.75,51.9,0
4.89796,4.43,519.85,144.39,0.94,257.47,10.6,64.24,52.01,0
5.12755,4.9,549.93,164.81,0.97,284.38,10.53,65.48,50.45,0
5.35714,4.66,513.35,141.07,0.93,252.11,10.6,64.06,52.3,0
5.58673,4.48,477.3,115.24,0.87,217.19,10.59,63.74,52.33,0
5.81633,4.49,503.96,134.94,0.89,242.05,10.59,64.17,51.42,0
6.04592,4.83,476.87,113.47,0.86,215.82,10.61,64.01,51.93,0
6.27551,4.45,478.93,115.02,0.86,217.91,10.63,64.07,51.75,0
6.5051,4.87,507.87,137.25,0.91,245.72,10.63,64.28,51.77,0
6.73469,4.4,463.77,105.02,0.85,203.71,10.64,63.69,52.48,0
6.96429,4.54,476.77,116.41,0.87,217.29,10.64,63.62,52.46,1
7.19388,4.56,495.59,128.63,0.91,234.5,10.62,63.95,52.28,0
7.42347,4.73,463.66,104.27,0.83,201.27,10.68,64.32,52.21,0
7.65306,4.45,534.25,154.14,0.95,270.01,10.62,64.97,51.18,0
7.88265,4.42,515.65,143.38,0.91,251.72,10.63,64.95,51.07,0
8.11224,4.23,449.14,94.12,0.82,189.28,10.67,63.65,52.31,0
8.34184,4.55,524.32,150.15,0.96,261.92,10.63,64.44,52.21,0
8.57143,4.28,486.04,121.35,0.87,226.03,10.64,63.6,51.59,0
8.80102,4.5,511.59,140.79,0.92,249.41,10.68,64.29,52.44,0
9.03061,4.4,509.09,138.44,0.91,246.73,10.64,64.33,51.88,0
9.2602,4.7,572.55,189.43,1.02,309.78,10.55,64.71,50.54,0
9.4898,4.45,480.97,116.53,0.86,218.35,10.71,64.35,51.79,0
9.71939,4.5,469.6,111.19,0.86,209.86,10.65,63.66,52.63,0
9.94898,4.75,567.8,183.41,1.03,303.91,10.58,64.86,51.29,0
10.17857,4.72,550.96,172.15,1.0,288.3,10.6,64.42,51.46,0
10.40816,4.46,524.73,148.63,0.93,260.47,10.62,65.09,51.31,0
10.63776,4.59,507.52,136.41,0.91,244.6,10.65,64.45,52.1,0
10.86735,4.66,530.35,154.41,0.95,267.7,10.64,64.46,51.76,0
11.09694,4.62,503.53,135.38,0.92,242.32,10.65,64.08,52.2,0
11.32653,4.95,511.62,141.09,0.92,249.43,10.63,64.35,51.85,0
11.55612,4.34,496.73,126.39,0.86,230.25,10.7,65.45,50.99,0
11.78571,5.18,575.53,189.32,1.02,310.05,10.57,65.39,50.73,0
12.01531,4.58,508.66,140.23,0.94,247.92,10.66,63.93,52.88,0
12.2449,4.4,527.36,153.1,0.93,263.22,10.65,64.9,51.09,0
12.47449,4.68,525.2,153.48,0.95,262.95,10.66,64.39,52.23,0
12.70408,4.59,542.14,164.63,1.0,280.05,10.66,64.27,51.94,0
12.93367,5.02,547.61,168.93,0.99,284.72,10.6,64.66,51.42,0
13.16327,4.6,535.61,161.21,0.99,274.89,10.64,63.91,52.31,0
13.39286,4.61,512.06,141.72,0.92,248.47,10.64,64.77,51.23,0
13.62245,4.57,523.08,148.81,0.93,258.41,10.68,64.93,51.45,0
13.85204,4.66,537.6,159.99,0.96,273.04,10.68,64.98,51.29,0
14.08163,4.6,511.07,142.63,0.92,249.17,10.65,64.2,52.15,0
14.31122,4.88,497.84,131.88,0.92,236.38,10.66,64.0,52.86,0
14.54082,4.49,535.47,159.76,0.97,272.68,10.62,64.46,51.12,0
14.77041,4.44,507.91,139.9,0.9,244.39,10.68,64.62,51.81,0
15.0,4.95,506.61,137.96,0.92,244.89,10.7,64.16,52.85,0
