tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.31,459.79,111.06,0.82,197.4,10.8,64.4,52.36,69
0.53061,4.24,451.79,103.12,0.81,188.77,10.79,64.48,52.45,45
0.56122,4.24,453.91,105.64,0.83,192.52,10.79,64.11,52.63,49
0.59184,4.34,455.19,106.81,0.82,193.27,10.79,64.17,52.31,35
0.62245,4.45,464.21,113.63,0.84,202.14,10.75,64.2,52.66,33
0.65306,4.36,458.14,109.41,0.84,198.4,10.71,63.59,52.7,17
0.68367,4.47,494.15,135.41,0.89,232.41,10.73,64.14,52.22,12
0.71429,4.52,493.03,134.0,0.88,231.35,10.7,64.14,52.16,11
0.7449,4.44,486.17,128.81,0.9,225.74,10.67,63.79,52.71,4
0.77551,4.47,532.77,162.77,0.96,269.29,10.63,64.66,51.32,3
0.80612,4.6,516.19,150.21,0.94,253.89,10.65,64.31,51.9,1
0.83673,4.24,457.78,104.49,0.82,196.38,10.72,64.1,51.91,0
0.86735,4.37,471.35,113.44,0.85,210.37,10.66,63.88,52.09,0
0.89796,4.45,518.61,147.23,0.93,255.58,10.64,64.55,51.68,0
0.92857,4.81,471.54,116.33,0.87,212.38,10.63,63.55,52.41,0
0.95918,4.44,541.69,159.57,0.95,275.65,10.61,65.62,50.66,0
0.9898,4.38,467.59,108.53,0.85,206.41,10.67,63.99,52.15,0
1.02041,4.29,477.02,113.09,0.85,214.86,10.64,64.27,51.48,0
1.05102,4.75,497.65,128.99,0.88,235.69,10.61,64.25,51.72,0
1.08163,4.64,503.13,131.15,0.91,241.54,10.63,64.11,52.42,0
1.11224,4.32,497.79,128.11,0.87,235.41,10.61,64.36,51.56,0
1.14286,4.92,545.74,159.82,0.97,281.04,10.54,65.16,50.65,0
1.17347,4.34,474.17,110.19,0.87,215.37,10.58,63.39,52.51,0
1.20408,4.41,506.19,126.96,0.88,241.43,10.6,65.16,50.64,0
1.23469,4.68,526.69,146.13,0.94,265.85,10.53,63.94,51.79,0
1.26531,4.81,588.8,188.68,1.03,324.23,10.49,65.17,50.42,0
1.29592,4.5,483.1,115.3,0.89,224.8,10.53,63.33,52.23,0
1.32653,4.71,623.03,206.61,1.06,352.2,10.45,67.02,49.76,0
1.35714,4.72,573.23,176.44,1.02,311.41,10.43,64.31,50.44,0
1.38776,4.87,507.0,127.73,0.91,245.71,10.5,64.06,51.24,0
1.41837,4.49,559.72,158.76,0.96,292.34,10.46,66.09,49.67,0
1.44898,4.63,523.27,140.05,0.96,264.83,10.45,63.33,51.53,0
1.47959,4.96,629.91,216.22,1.1,365.39,10.35,65.32,49.86,0
1.5102,4.79,631.17,214.97,1.1,364.41,10.37,65.78,49.58,0
1.54082,4.96,531.04,141.56,0.95,270.61,10.41,63.8,50.78,0
1.57143,4.67,573.88,170.8,1.03,312.66,10.38,64.04,50.63,0
1.60204,4.71,561.72,160.17,1.0,300.35,10.36,64.05,50.94,0
1.63265,4.57,482.77,107.53,0.88,224.29,10.45,63.21,52.2,0
1.66327,4.7,543.87,145.98,0.99,283.12,10.4,63.85,51.66,0
1.69388,4.51,470.57,97.63,0.86,212.74,10.44,63.15,52.11,0
1.72449,4.72,546.59,148.2,0.99,287.78,10.34,63.43,50.78,0
1.7551,4.57,540.78,141.33,0.97,281.41,10.34,63.58,50.61,0
1.78571,4.63,573.5,168.76,1.03,313.75,10.33,63.6,50.94,0
1.81633,4.89,644.95,211.18,1.09,377.69,10.28,66.08,48.8,0
1.84694,4.48,463.03,91.08,0.84,206.24,10.38,62.75,51.79,0
1.87755,4.6,540.97,140.01,0.96,280.15,10.29,63.96,50.16,0
1.90816,5.05,544.72,138.77,0.96,284.42,10.27,63.81,49.96,0
1.93878,5.03,598.4,178.09,1.05,337.02,10.23,64.22,49.61,0
1.96939,4.48,497.58,110.18,0.9,240.42,10.32,62.94,50.94,0
2.0,4.94,559.44,152.97,1.0,299.95,10.28,63.63,50.18,0
