minGap,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.25,4.72,524.03,145.42,0.95,263.82,10.57,63.75,51.99,0
1.32653,4.46,516.77,138.03,0.91,253.98,10.59,64.52,51.32,0
1.40306,4.99,506.4,132.47,0.93,247.04,10.56,63.46,52.04,0
1.47959,4.58,559.55,172.84,1.0,296.31,10.55,64.52,51.16,0
1.55612,4.3,470.09,106.45,0.86,211.68,10.6,63.26,52.27,0
1.63265,4.58,544.7,161.74,0.98,282.45,10.56,64.26,51.22,0
1.70918,4.33,471.77,105.87,0.84,210.87,10.63,63.86,51.83,0
1.78571,4.5,547.31,162.16,0.98,284.37,10.56,64.41,51.07,0
1.86224,4.52,533.25,156.6,0.98,275.29,10.56,63.24,51.64,0
1.93878,4.51,565.24,172.77,0.98,299.36,10.5,65.7,50.22,0
2.01531,4.58,495.66,126.27,0.9,236.01,10.58,63.62,52.01,0
2.09184,4.45,505.86,131.37,0.92,245.07,10.61,63.92,51.87,0
2.16837,4.49,501.06,129.4,0.91,241.77,10.59,63.57,52.56,0
2.2449,4.43,491.05,119.95,0.88,228.4,10.63,64.36,51.66,0
2.32143,4.86,506.32,131.82,0.9,243.74,10.57,64.3,51.41,0
2.39796,4.94,482.2,114.61,0.89,222.42,10.61,63.63,52.55,0
2.47449,4.46,476.96,112.69,0.87,217.06,10.61,63.72,51.98,0
2.55102,4.84,605.59,205.88,1.07,339.69,10.53,65.65,50.23,0
2.62755,4.42,525.21,144.81,0.92,260.94,10.57,65.01,50.61,0
2.70408,5.1,526.97,151.28,0.96,266.32,10.56,63.89,52.39,0
2.78061,4.45,466.6,104.25,0.85,207.63,10.64,63.3,52.42,0
2.85714,4.52,472.02,107.99,0.86,212.32,10.63,63.57,52.59,0
2.93367,4.48,482.05,115.4,0.88,221.57,10.59,63.83,52.42,0
3.0102,4.58,491.27,122.27,0.88,231.02,10.6,63.75,52.19,0
3.08673,4.75,496.98,126.35,0.88,235.99,10.63,63.94,51.91,0
3.16327,4.51,525.42,147.95,0.93,262.76,10.56,64.38,51.13,0
3.2398,4.63,568.82,182.96,1.04,305.77,10.54,64.45,51.76,0
3.31633,4.52,528.6,150.59,0.95,266.51,10.57,64.24,51.49,0
3.39286,4.37,501.02,130.64,0.89,239.89,10.6,63.96,51.7,0
3.46939,4.56,522.13,145.74,0.93,259.85,10.56,64.28,51.85,0
3.54592,4.91,561.08,173.24,0.97,294.59,10.5,65.77,50.36,0
3.62245,4.46,529.7,153.2,0.94,267.96,10.58,64.24,51.4,0
3.69898,4.6,581.17,190.21,1.01,316.82,10.5,65.08,50.55,0
3.77551,5.04,551.08,170.77,0.99,288.02,10.56,64.49,51.32,0
3.85204,4.43,501.64,131.04,0.88,240.14,10.59,64.12,51.38,0
3.92857,4.99,556.08,172.58,0.98,292.63,10.52,64.58,50.91,0
4.0051,4.75,555.78,176.87,0.99,292.6,10.53,64.49,51.28,0
4.08163,4.64,479.96,114.96,0.85,218.86,10.63,63.97,51.73,0
4.15816,4.69,544.47,166.28,0.98,284.03,10.53,63.86,51.5,0
4.23469,4.71,589.78,200.49,1.01,323.86,10.53,65.52,50.68,0
4.31122,4.47,498.46,130.23,0.9,238.08,10.64,63.83,52.6,0
4.38776,4.65,503.21,134.26,0.9,241.47,10.59,64.15,52.03,1
4.46429,4.76,509.94,138.5,0.9,246.4,10.58,64.54,51.09,0
4.54082,4.93,540.6,163.18,0.95,277.36,10.51,64.71,50.87,0
4.61735,5.03,561.49,179.8,1.0,299.73,10.5,64.33,51.07,0
4.69388,4.74,593.15,203.4,1.01,326.45,10.48,65.86,49.97,0
4.77041,4.68,525.31,152.92,0.95,263.24,10.58,64.16,52.33,0
4.84694,4.45,489.72,125.58,0.88,229.25,10.59,63.86,52.0,0
4.92347,4.57,588.95,198.52,1.02,322.32,10.53,65.77,50.41,0
