tau,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
0.5,4.17,432.4,88.08,0.79,170.95,10.86,63.89,53.54,84
0.53061,4.26,429.4,83.33,0.76,166.48,10.87,64.29,52.77,66
0.56122,4.37,430.09,84.77,0.79,169.27,10.84,63.8,53.28,47
0.59184,4.15,441.45,92.82,0.8,179.63,10.81,64.04,52.69,48
0.62245,4.28,450.08,97.68,0.82,187.73,10.8,64.16,52.37,43
0.65306,4.16,443.1,91.03,0.8,180.45,10.8,64.25,52.45,21
0.68367,4.29,442.88,92.62,0.82,182.97,10.77,63.55,53.22,27
0.71429,4.78,466.44,106.76,0.85,203.79,10.73,64.3,52.35,16
0.7449,4.26,469.24,105.68,0.85,204.85,10.78,64.74,52.48,7
0.77551,4.46,471.52,112.41,0.87,211.77,10.72,63.64,52.95,2
0.80612,4.9,505.69,136.1,0.93,243.43,10.67,64.2,52.64,6
0.83673,5.1,547.66,166.28,0.98,282.74,10.61,64.88,51.29,2
0.86735,4.43,506.84,133.47,0.9,243.31,10.62,64.52,51.55,0
0.89796,4.56,529.88,149.1,0.96,266.73,10.61,64.45,51.75,0
0.92857,4.41,498.0,124.58,0.91,237.68,10.62,63.74,52.51,0
0.95918,4.35,506.69,130.21,0.91,246.49,10.58,63.71,51.54,0
0.9898,4.29,470.12,101.35,0.84,209.46,10.59,63.8,51.51,0
1.02041,4.72,587.18,182.68,1.02,319.61,10.5,65.98,50.13,0
1.05102,4.89,513.77,129.07,0.9,250.97,10.53,64.38,51.2,0
1.08163,4.29,482.69,107.51,0.86,222.45,10.55,63.67,51.42,0
1.11224,4.99,531.83,141.03,0.97,271.65,10.47,63.69,51.34,0
1.14286,4.87,512.23,126.0,0.94,253.9,10.46,63.18,51.92,0
1.17347,4.5,529.33,134.7,0.95,269.05,10.47,63.73,51.04,0
1.20408,4.34,475.69,97.6,0.85,216.61,10.5,63.42,51.09,0
1.23469,4.58,571.26,155.45,0.98,304.64,10.41,65.62,49.9,0
1.26531,4.31,509.72,119.18,0.89,250.43,10.42,63.5,50.32,0
1.29592,4.66,545.23,141.37,0.99,286.85,10.34,63.24,50.88,0
1.32653,4.53,579.67,164.78,1.06,320.43,10.34,63.45,50.41,0
1.35714,4.61,548.8,136.72,0.97,286.46,10.35,64.37,50.16,0
1.38776,4.38,540.69,133.38,0.98,281.9,10.32,63.34,50.37,0
1.41837,4.49,536.71,129.2,0.97,279.47,10.29,62.97,50.78,0
1.44898,4.44,534.55,128.72,0.97,278.5,10.25,62.66,50.55,0
1.47959,4.66,577.97,154.36,1.03,318.57,10.22,63.65,49.61,0
1.5102,4.45,575.17,147.52,1.02,313.91,10.21,64.24,49.4,0
1.54082,4.29,521.68,115.57,0.91,263.33,10.26,63.17,49.95,0
1.57143,4.72,585.33,155.18,1.04,325.8,10.17,63.72,49.5,0
1.60204,4.56,514.48,109.83,0.93,260.2,10.17,62.11,50.48,0
1.63265,4.29,476.91,88.44,0.86,222.69,10.22,62.0,50.66,0
1.66327,4.7,589.36,154.74,1.07,331.43,10.1,63.21,49.3,0
1.69388,4.54,539.6,118.54,0.98,284.51,10.1,62.37,49.89,0
1.72449,4.37,496.33,94.63,0.87,240.44,10.14,62.55,49.8,0
1.7551,4.69,596.2,151.06,1.04,336.42,10.02,63.79,48.67,0
1.78571,4.46,527.21,110.02,0.92,270.68,10.08,62.81,49.02,0
1.81633,4.51,576.84,137.67,0.99,317.67,10.0,63.53,48.64,0
1.84694,5.03,633.09,171.71,1.06,371.04,9.98,64.62,47.86,0
1.87755,4.91,551.93,119.18,0.94,292.47,9.99,63.68,48.28,0
1.90816,4.66,606.97,152.35,1.05,347.04,9.92,63.86,48.28,0
1.93878,4.88,578.26,134.3,0.99,319.44,9.94,63.5,48.2,0
1.96939,4.78,613.88,157.37,1.07,355.84,9.86,63.26,48.36,0
2.0,4.36,534.21,106.55,0.95,279.74,9.95,61.97,49.14,0
