,edge,flow,density
0,-16719067,0.0,0
1,-16719698#0,0.0,0
2,-16719698#1,0.0,0
3,-16720136#1,0.0,0
4,-16720145#0,1.65,0.07
5,-16720145#1,2.47,0.16
6,-16720242#0,0.0,0
7,-16720242#1,0.0,0
8,-16720242#2,0.0,0
9,-16720478,0.0,0
10,-16721105,9.07,0.35
11,-16721125#0,8.24,0.41
12,-16721125#1,6.59,0.19
13,-16721128#0,8.24,0.34
14,-16721128#1,4.12,0.13
15,-16721128#2,0.82,0.12
16,-16721128#3,0.0,0
17,-16721196#0,11.54,0.26
18,-16721196#3,10.72,0.46
19,-16721196#4,10.72,0.38
20,-16721196#6,3.3,0.21
21,-16721196#7,6.59,0.21
22,-16721196#8,0.0,0.07
23,-16721208,4.95,0.13
24,-16721382#0,6.59,0.16
25,-16721382#1,7.42,0.2
26,-16721382#2,4.95,0.19
27,-16721382#4,4.95,0.12
28,-16721382#5,12.37,0.44
29,-16721382#6,8.24,0.22
30,-16721382#7,0.0,0.15
31,-16721393,0.0,0.11
32,-16721404#0,2.47,0.09
33,-16721404#1,2.47,0.09
34,-16721404#2,11.54,0.66
35,-16721404#3,9.89,0.22
36,-16721404#4,10.72,0.25
37,-16721404#5,9.07,0.54
38,-16721576#0,1.65,0.03
39,-16721576#1,12.37,0.4
40,-16721682,1.65,0.07
41,-16721684#1,1.65,0.04
42,-16721684#2,2.47,0.18
43,-16721684#3,0.82,0.06
44,-16721687#0,3.3,0.17
45,-16721699#1,18.14,1.35
46,-16721699#2,16.49,0.58
47,-16721699#3,17.31,0.42
48,-16721699#4,15.66,0.39
49,-16721739,0.82,0.04
50,-16721742#0,12.37,0.56
51,-16721742#1,10.72,0.62
52,-16721785,2.47,0.07
53,-16721791#1,4.12,1.76
54,-16721791#2,4.95,0.15
55,-16721791#3,7.42,7.88
56,-16721791#4,0.0,0
57,-16721822#0,0.0,0.04
58,-16721822#1,5.77,0.21
59,-16721885#0,0.82,0.02
60,-16721885#1,4.12,0.18
61,-16721885#2,4.12,0.13
62,-16721910,0.0,0.13
63,-16722050,13.19,0.62
64,-16722134#0,0.82,0.02
65,-16722134#1,2.47,0.2
66,-16722175,9.89,0.31
67,-16722232,1.65,0.06
68,-16722253#0,2.47,0.1
69,-16722253#1,0.0,0.05
70,-16722318,3.3,0.08
71,-16722369#0,17.31,0.41
72,-16722369#1,18.96,0.57
73,-16722369#10,26.38,0.57
74,-16722369#11,48.64,1.53
75,-16722369#12,49.46,1.29
76,-16722369#13,48.64,2.17
77,-16722369#2,21.43,0.84
78,-16722369#3,23.91,0.95
79,-16722369#4,24.73,0.95
80,-16722369#6,23.91,0.65
81,-16722369#7,25.56,0.9
82,-16722369#8,23.91,0.87
83,-16722369#9,23.91,0.57
84,-16722370,0.0,0.04
85,-16722378#1,9.07,0.33
86,-16722378#2,11.54,0.27
87,-16722378#3,12.37,0.32
88,-16722378#4,11.54,0.26
89,-16722378#6,13.19,0.34
90,-16722413#0,5.77,0.2
91,-16722413#1,0.0,0.03
92,-16722440#0,0.0,0
93,-16722440#1,0.82,0.02
94,-16722440#2,0.82,0.06
95,-16722456#0,8.24,0.41
96,-16722456#1,4.12,0.14
97,-16722515#0,4.95,0.47
98,-16722515#1,0.0,0.04
99,-16722643#0,1.65,0.04
100,-16722643#1,1.65,0.07
101,-16722643#2,2.47,0.06
102,-16722643#3,2.47,0.06
103,-16722697,0.0,0.11
104,-16722700#0,16.49,0.37
105,-16722700#1,16.49,0.52
106,-16722757#1,4.12,0.11
107,-16722757#2,93.98,2.67
108,-16722757#3,93.98,2.26
109,-16722757#4,89.86,3.05
110,-16722772#0,2.47,0.08
111,-16722772#1,1.65,0.04
112,-16722772#2,2.47,0.52
113,-16722772#3,0.0,0.05
114,-16722860#0,2.47,0.06
