,edge,flow,density
0,-16719067,0.0,0
1,-16719698#0,0.0,0
2,-16719698#1,0.0,0
3,-16720136#1,0.0,0
4,-16720145#0,1.63,0.07
5,-16720145#1,2.44,0.14
6,-16720242#0,0.0,0
7,-16720242#1,0.0,0
8,-16720242#2,0.0,0
9,-16720478,0.0,0
10,-16721105,8.95,0.31
11,-16721125#0,8.13,0.44
12,-16721125#1,6.51,0.18
13,-16721128#0,8.13,0.28
14,-16721128#1,4.07,0.13
15,-16721128#2,0.81,0.12
16,-16721128#3,0.0,0
17,-16721196#0,11.39,0.26
18,-16721196#3,10.57,0.36
19,-16721196#4,10.57,0.36
20,-16721196#6,3.25,0.2
21,-16721196#7,6.51,0.22
22,-16721196#8,0.0,0.06
23,-16721208,4.88,0.13
24,-16721382#0,6.51,0.16
25,-16721382#1,7.32,0.21
26,-16721382#2,4.88,0.17
27,-16721382#4,4.88,0.12
28,-16721382#5,12.2,0.38
29,-16721382#6,8.13,0.22
30,-16721382#7,0.0,0.15
31,-16721393,0.0,0.11
32,-16721404#0,2.44,0.08
33,-16721404#1,2.44,0.07
34,-16721404#2,11.39,0.55
35,-16721404#3,9.76,0.22
36,-16721404#4,10.57,0.25
37,-16721404#5,8.95,0.56
38,-16721576#0,1.63,0.03
39,-16721576#1,12.2,0.36
40,-16721682,1.63,0.07
41,-16721684#1,1.63,0.04
42,-16721684#2,2.44,0.16
43,-16721684#3,0.81,0.06
44,-16721687#0,3.25,0.15
45,-16721699#1,17.89,1.0
46,-16721699#2,16.27,0.5
47,-16721699#3,17.08,0.42
48,-16721699#4,15.45,0.39
49,-16721739,0.81,0.04
50,-16721742#0,12.2,0.47
51,-16721742#1,10.57,0.5
52,-16721785,2.44,0.07
53,-16721791#1,4.07,1.82
54,-16721791#2,4.88,0.13
55,-16721791#3,7.32,8.23
56,-16721791#4,0.0,0
57,-16721822#0,0.0,0.04
58,-16721822#1,5.69,0.18
59,-16721885#0,0.81,0.02
60,-16721885#1,4.07,0.14
61,-16721885#2,4.07,0.13
62,-16721910,0.0,0.11
63,-16722050,13.01,0.49
64,-16722134#0,0.81,0.02
65,-16722134#1,2.44,0.18
66,-16722175,9.76,0.29
67,-16722232,1.63,0.06
68,-16722253#0,2.44,0.1
69,-16722253#1,0.0,0.05
70,-16722318,3.25,0.08
71,-16722369#0,17.08,0.41
72,-16722369#1,18.71,0.57
73,-16722369#10,26.03,0.57
74,-16722369#11,47.99,1.37
75,-16722369#12,48.8,1.26
76,-16722369#13,47.99,2.19
77,-16722369#2,21.15,0.83
78,-16722369#3,23.59,1.05
79,-16722369#4,24.4,0.93
80,-16722369#6,23.59,0.64
81,-16722369#7,25.21,0.93
82,-16722369#8,23.59,0.89
83,-16722369#9,23.59,0.59
84,-16722370,0.0,0.04
85,-16722378#1,8.95,0.27
86,-16722378#2,11.39,0.26
87,-16722378#3,12.2,0.32
88,-16722378#4,11.39,0.26
89,-16722378#6,13.01,0.32
90,-16722413#0,5.69,0.18
91,-16722413#1,0.0,0.03
92,-16722440#0,0.0,0
93,-16722440#1,0.81,0.02
94,-16722440#2,0.81,0.06
95,-16722456#0,8.13,0.36
96,-16722456#1,4.07,0.14
97,-16722515#0,4.88,0.41
98,-16722515#1,0.0,0.04
99,-16722643#0,1.63,0.04
100,-16722643#1,1.63,0.06
101,-16722643#2,2.44,0.06
102,-16722643#3,2.44,0.07
103,-16722697,0.0,0.11
104,-16722700#0,16.27,0.37
105,-16722700#1,16.27,0.55
106,-16722757#1,4.07,0.1
107,-16722757#2,92.72,2.4
108,-16722757#3,92.72,2.19
109,-16722757#4,88.66,2.62
110,-16722772#0,2.44,0.08
111,-16722772#1,1.63,0.04
112,-16722772#2,2.44,0.58
113,-16722772#3,0.0,0.06
114,-16722860#0,2.44,0.07
